Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of West Bengal||West Bengal Housing Infrastructure Development Corporation Ltd,2025_WB_4710,"8,21,00,000","4,10,26,00,000",24-May-2025 12:00 PM,23-Jun-2025 02:00 PM,30-Jun-2025 12:00 PM,Land/Building
Govt of Haryana||Prison Department Haryana||Central Prison-1 Hisar,2025_HR_1004,"10,000",15,18-Jun-2025 11:50 AM,23-Jun-2025 02:00 PM,25-Jun-2025 09:00 AM,Scrap/Disposables
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Tamluk Panchayat Samity,2025_WB_4765,"43,827","4,38,269",11-Jun-2025 10:00 AM,23-Jun-2025 03:00 PM,30-Jun-2025 12:00 PM,Miscellaneous
Govt of Jharkhand||Jharkhand State Forest Development Corp. Ltd.||Director (Marketing) - JSFDC||Dy.Director (HQ) - JSFDC,2025_JH_168,"4,57,870",,19-Jun-2025 03:30 PM,23-Jun-2025 05:00 PM,25-Jun-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29911,"1,00,000","5,13,361",09-Jun-2025 10:00 AM,23-Jun-2025 05:00 PM,30-Jun-2025 10:00 AM,Land/Building
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Meerut,2025_MoD_4015,"1,00,000","8,00,000",07-Jun-2025 10:00 AM,23-Jun-2025 05:00 PM,25-Jun-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29898,"1,00,000","5,16,312",09-Jun-2025 10:00 AM,23-Jun-2025 05:00 PM,30-Jun-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29895,"1,00,000","5,16,312",09-Jun-2025 10:00 AM,23-Jun-2025 05:00 PM,30-Jun-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29894,"1,00,000","5,16,312",09-Jun-2025 10:00 AM,23-Jun-2025 05:00 PM,30-Jun-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29907,"1,00,000","5,13,361",09-Jun-2025 10:00 AM,23-Jun-2025 05:00 PM,30-Jun-2025 10:00 AM,Land/Building
