,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,198057,Equitas Small Finance Bank,"All that piece and parcel of the land bearing
Grampandlayat Plot No.10, out of f...I am interested",Yavatmal,21 Jun 2025,"7,00,000.00","70,000.00",SARFAESI,--,197145,1,Immovable,Land,0
,198065,Equitas Small Finance Bank,"s.no 2

All part & parcel of this land & buiding in Tirupur Registration Distric...I am interested",Tirupur,21 Jun 2025,"13,50,000.00","1,35,000.00",SARFAESI,--,197146,1,Immovable,Land And Building,0
,198088,Equitas Small Finance Bank,"s.no 3

All that piece and parcel of property bearing a
residential plot No-134,...I am interested",Raisen,21 Jun 2025,"1,45,000.00","14,500.00",SARFAESI,--,197175,1,Immovable,Residential Plot,0
,198097,Equitas Small Finance Bank,"s.no 4

All that pieces and parcel of non-agricultur property
being Resdiential ...I am interested",SIRSA,21 Jun 2025,"8,05,000.00","80,500.00",SARFAESI,--,197182,1,Immovable,NON AGRICULTURAL,0
,198104,Equitas Small Finance Bank,"s.no 5

Item-1 schedule-1
All that piece and parcel of land bearing Plot No.10, ...I am interested",Chennai,21 Jun 2025,"22,10,000.00","2,21,000.00",SARFAESI,--,197188,1,Immovable,Plot,0
,198108,Equitas Small Finance Bank,"s.no 6

PROPERTY- I
All $at piece and parcel of land and building, bearing Plot
...I am interested",Chengalpattu,21 Jun 2025,"20,00,000.00","2,00,000.00",SARFAESI,--,197192,1,Immovable,Land And Building,0
,198112,Equitas Small Finance Bank,"S.NO 7

Al that piece and parcel of land, building, bearing, Flat No.Gl, in
Grou...I am interested",Chennai,21 Jun 2025,"34,77,000.00","3,47,700.00",SARFAESI,--,197193,1,Immovable,Land And Building,0
,197922,Axis Bank,"ALL THE PIECE AND PARCEL OF SHOP NO. 
303 ON THIRD FLOOR OF COMMERCIAL 
SCHEME K...I am interested",Surat,21 Jun 2025,"26,46,000.00","2,64,600.00",SARFAESI,--,197004,0,Immovable,Shop,0
,197924,Axis Bank,"ALL THE PART AND PARCEL OF 
IMMOVABLE PROPERTY COMPRISING OF 
RESIDENTIAL TENAME...I am interested",Rajkot,21 Jun 2025,"8,43,500.00","84,350.00",SARFAESI,--,197006,0,Immovable,Land,0
,197641,IndusInd Bank,"All that piece and parcel of immovable residential property bearing No. 33/2, ol...I am interested",Bangalore,21 Jun 2025,"1,25,12,000.00","12,51,200.00",SARFAESI,--,196723,0,Immovable,Residential,0
