,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,197676,Equitas Small Finance Bank,"All that piece and parcel of land with @mmon passaqe comprised in 5.No.27214, wi...I am interested",DINDIGUL,27 Jun 2025,"3,20,000.00","32,000.00",SARFAESI,--,196760,1,Immovable,Land And Building,0
,196454,Encore Asset Reconstruction Company Private Limited,"Property No.1
Namakkal Registration District, Pallipalayam Sub-registration Dist...I am interested",namakkal,27 Jun 2025,"76,50,000.00","7,65,000.00",SARFAESI,--,195539,0,Immovable,Land,0
,196455,Encore Asset Reconstruction Company Private Limited,"Property No.2
Namakkal Registration District Pallipalayam Sub-registration Distr...I am interested",namakkal,27 Jun 2025,"81,00,000.00","8,10,000.00",SARFAESI,--,195540,0,Immovable,Land,0
,196456,Encore Asset Reconstruction Company Private Limited,"Property No.3
Namakkal Registration District, Pallipalayam Sub-registration Dist...I am interested",namakkal,27 Jun 2025,"71,10,000.00","7,11,000.00",SARFAESI,--,195541,0,Immovable,Land,0
,196457,Encore Asset Reconstruction Company Private Limited,"Property No 4
Namakkal Registration District Pallipalayam Sub-registration Distr...I am interested",namakkal,27 Jun 2025,"64,80,000.00","6,48,000.00",SARFAESI,--,195542,0,Immovable,Land,0
,196458,Encore Asset Reconstruction Company Private Limited,"Property NO.5
Item No.1
Namakkal Registration District Pallipalayam Sub-registra...I am interested",namakkal,27 Jun 2025,"1,29,60,000.00","12,96,000.00",SARFAESI,--,195543,0,Immovable,Land,0
,198378,Omkara Assets Reconstruction Private Limited,"All that pieces or parcels of land bearing herediments and 
premises, bearing Mu...I am interested",Ratlam,27 Jun 2025,"6,45,30,000.00","64,53,000.00",SARFAESI,--,197457,0,Immovable,Land,0
,197605,The Tamil Nadu Industrial Investment Corporation Limited,"1. Land at S.No.325B/3A- 27 cents
2. Land at S.No.325B/3C-54 cents
3. Land at S....I am interested",VILLUPURAM,27 Jun 2025,"31,68,000.00","3,16,800.00",SFC,--,196688,0,Immovable,Land,0
,197478,Axis Bank,"All that piece and parcel of Non- Agricultural 
Immovable property situated at B...I am interested",Mangalore,27 Jun 2025,"40,30,000.00","4,03,000.00",SARFAESI,--,196562,0,Immovable,Land,
,197735,Axis Bank,"SCHEDULE-A - East Godavari District, Rajanagaram Sib-Registry, Rajanagaram Manda...I am interested",East Godavari,27 Jun 2025,"31,00,000.00","3,10,000.00",SARFAESI,--,196818,0,Immovable,Residential,0
