Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Haryana||Haryana Tourism Corporation Limited,2025_HR_990,"4,55,200",,29-May-2025 09:05 AM,16-Jun-2025 11:00 AM,17-Jun-2025 11:00 AM,Miscellaneous
Govt of Haryana||Haryana Tourism Corporation Limited,2025_HR_989,"8,38,218",,29-May-2025 09:05 AM,16-Jun-2025 11:00 AM,17-Jun-2025 11:00 AM,Miscellaneous
Ministry of Defence||Directorate General Defence Estates||Northern Command Jammu||DEO- Udhampur,2025_MoD_3982,"1,500","70,000",27-May-2025 01:30 PM,16-Jun-2025 11:00 AM,23-Jun-2025 11:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Northern Command Jammu||DEO- Udhampur,2025_MoD_3983,"3,500","1,75,000",27-May-2025 01:30 PM,16-Jun-2025 11:00 AM,23-Jun-2025 11:00 AM,Others
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1625,"3,00,000",250,11-Jun-2025 03:00 PM,16-Jun-2025 01:00 PM,17-Jun-2025 10:00 AM,Others
Govt of West Bengal||West Bengal Housing Infrastructure Development Corporation Ltd,2025_WB_4676,"1,05,00,000","52,28,00,000",17-May-2025 12:00 PM,16-Jun-2025 02:00 PM,23-Jun-2025 12:00 PM,Land/Building
Govt of West Bengal||West Bengal Housing Infrastructure Development Corporation Ltd,2025_WB_4677,"32,89,000","16,45,00,000",17-May-2025 12:00 PM,16-Jun-2025 02:00 PM,23-Jun-2025 12:00 PM,Land/Building
Govt of West Bengal||West Bengal Housing Infrastructure Development Corporation Ltd,2025_WB_4678,"21,00,000","10,46,00,000",17-May-2025 12:00 PM,16-Jun-2025 02:00 PM,23-Jun-2025 12:00 PM,Land/Building
Govt of West Bengal||West Bengal Housing Infrastructure Development Corporation Ltd,2025_WB_4679,"30,11,000","15,06,00,000",17-May-2025 12:00 PM,16-Jun-2025 02:00 PM,23-Jun-2025 12:00 PM,Land/Building
Govt of West Bengal||Zilla Parishad West Bengal||Purba Bardhaman,2025_WB_4740,"98,145","2,65,257",06-Jun-2025 11:10 AM,16-Jun-2025 03:00 PM,24-Jun-2025 11:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Bardhaman,2025_WB_4760,"41,542","1,12,275",06-Jun-2025 11:10 AM,16-Jun-2025 03:00 PM,24-Jun-2025 11:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Paschim Bardhaman,2025_WB_4665,"6,00,000","60,00,000",19-May-2025 11:00 AM,16-Jun-2025 03:00 PM,20-Jun-2025 03:00 PM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Pune District- DMA||Municipal Council-Talegaon Dabhade,2025_MH_30059,"50,000","28,79,634",13-Jun-2025 06:55 PM,16-Jun-2025 03:00 PM,17-Jun-2025 01:00 PM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Bardhaman,2025_WB_4761,"75,251","2,03,381",06-Jun-2025 11:10 AM,16-Jun-2025 03:00 PM,24-Jun-2025 11:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Bardhaman,2025_WB_4762,"97,940","2,64,704",06-Jun-2025 11:10 AM,16-Jun-2025 03:00 PM,24-Jun-2025 11:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Nagpur",2025_MH_29834,,,14-Jun-2025 09:00 AM,16-Jun-2025 03:50 PM,16-Jun-2025 03:50 PM,Firewood
Govt of West Bengal||Murshidabad Zilla Parishad-West Bengal||Beldanga - II,2025_WB_4752,"27,442","2,74,420",09-Jun-2025 06:00 PM,16-Jun-2025 04:00 PM,20-Jun-2025 10:00 AM,Others
Govt of West Bengal||Murshidabad Zilla Parishad-West Bengal||Beldanga - II,2025_WB_4751,"12,000","1,20,000",09-Jun-2025 06:00 PM,16-Jun-2025 04:00 PM,20-Jun-2025 10:00 AM,Others
Govt of Uttar Pradesh||Rajya Krishi Utpadan Mandi Parishad UP||DDAM Meerut- RKUMP||Ghaziabad Mandi- RKUMP,2025_UP_1629,"68,04,000",,12-Jun-2025 03:00 PM,16-Jun-2025 05:00 PM,25-Jun-2025 10:30 AM,Miscellaneous
Govt of West Bengal||Haldia Development Authority West Bengal,2025_WB_4738,"15,000","15,00,000",09-Jun-2025 11:00 AM,16-Jun-2025 05:00 PM,20-Jun-2025 12:00 PM,Scrap/Disposables
Govt of West Bengal||Zilla Parishad West Bengal||Howrah,2025_WB_4701,"8,716","35,177",26-May-2025 11:00 AM,16-Jun-2025 05:00 PM,03-Jul-2025 11:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Meerut,2025_MoD_3984,"25,000","3,00,000",28-May-2025 10:00 AM,16-Jun-2025 05:00 PM,18-Jun-2025 11:00 AM,Miscellaneous
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||DEO- Jodhpur,2025_MoD_3810,"25,000","90,000",20-Feb-2025 12:00 PM,16-Jun-2025 05:00 PM,23-Jun-2025 10:00 AM,Timber
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Nagpur",2025_MH_29836,,,14-Jun-2025 09:00 AM,16-Jun-2025 05:15 PM,16-Jun-2025 05:15 PM,Timber
Ministry of Defence||Directorate General Defence Estates||Eastern Command Kolkata||DEO- Guwahati,2025_MoD_4028,"2,000","29,500",11-Jun-2025 02:30 PM,16-Jun-2025 05:30 PM,18-Jun-2025 10:00 AM,Scrap/Disposables
"Govt of Puducherry (UT)||Department of Revenue and disaster Management||Taluk Office, Oulgaret",2025_PY_865,"9,92,750","99,27,500",28-May-2025 09:00 AM,16-Jun-2025 06:00 PM,25-Jun-2025 09:00 AM,Land/Building
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1627,20,,11-Jun-2025 06:55 PM,16-Jun-2025 06:55 PM,17-Jun-2025 02:05 PM,Miscellaneous
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Sironcha",2025_MH_29599,,,13-Jun-2025 05:00 PM,17-Jun-2025 09:30 AM,17-Jun-2025 09:30 AM,Timber
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||Regional Manager Chandrapur||Divisional Manager Bramhapuri,2025_MH_30020,,,14-Jun-2025 05:00 PM,17-Jun-2025 10:40 AM,17-Jun-2025 10:40 AM,Timber
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||Regional Manager Chandrapur||Divisional Manager Bramhapuri,2025_MH_30021,,,14-Jun-2025 05:00 PM,17-Jun-2025 11:35 AM,17-Jun-2025 11:35 AM,Timber
Govt of West Bengal||Zilla Parishad West Bengal||Murshidabad||NOWDA PANCHAYAT SAMITY,2025_WB_4757,"2,30,000","23,00,000",05-Jun-2025 06:55 PM,17-Jun-2025 12:00 PM,19-Jun-2025 10:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Nagpur",2025_MH_29837,,,15-Jun-2025 09:00 AM,17-Jun-2025 12:50 PM,17-Jun-2025 12:50 PM,Firewood
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Municipal Council Georai,2025_MH_29892,"20,000","20,00,000",10-Jun-2025 10:00 AM,17-Jun-2025 02:00 PM,23-Jun-2025 11:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Nagpur",2025_MH_29838,,,15-Jun-2025 09:00 AM,17-Jun-2025 02:35 PM,17-Jun-2025 02:35 PM,Timber
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Tamluk Panchayat Samity,2025_WB_4765,"43,827","4,38,269",11-Jun-2025 10:00 AM,17-Jun-2025 03:00 PM,23-Jun-2025 12:00 PM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Sangli District- DMA||Municipal Council Ashta,2025_MH_29937,"4,50,000","4,50,000",11-Jun-2025 02:00 PM,17-Jun-2025 04:00 PM,18-Jun-2025 11:00 AM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Patashpur II Panchayat Samity,2025_WB_4756,"4,000","2,00,000",05-Jun-2025 06:00 PM,17-Jun-2025 04:00 PM,19-Jun-2025 12:00 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Patashpur II Panchayat Samity,2025_WB_4759,"16,000","8,00,000",05-Jun-2025 06:30 PM,17-Jun-2025 04:00 PM,19-Jun-2025 03:00 PM,Others
Govt of Jammu and Kashmir||Social Forestry Department  Jammu Region - Jammu and Kashmir||DFO Social Forestry Division Jammu,2025_JK_42,"20,000",,29-May-2025 02:30 PM,17-Jun-2025 04:30 PM,19-Jun-2025 11:30 AM,Timber
Govt of Haryana||Prison Department Haryana||Central Prison-1 Hisar,2025_HR_999,"50,000",15,13-Jun-2025 05:00 PM,17-Jun-2025 05:00 PM,20-Jun-2025 09:00 AM,Others
Govt of West Bengal||Murshidabad Zilla Parishad-West Bengal,2025_WB_4763,"48,489","4,84,886",06-Jun-2025 05:00 PM,17-Jun-2025 05:00 PM,20-Jun-2025 05:00 PM,Others
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Bareilly,2025_MoD_3986,,"13,10,000",28-May-2025 05:00 PM,17-Jun-2025 06:00 PM,20-Jun-2025 11:00 AM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Bankura||Sonamukhi Panchayat Samity,2025_WB_4718,"2,50,000","5,00,000",30-May-2025 06:00 PM,17-Jun-2025 06:00 PM,23-Jun-2025 09:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Kanpur,2025_MoD_4026,630,"31,240",11-Jun-2025 03:45 PM,17-Jun-2025 06:00 PM,19-Jun-2025 10:00 AM,Timber
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||Regional Manager Chandrapur||Divisional Manager Pranhita,2025_MH_30060,,,16-Jun-2025 09:30 AM,18-Jun-2025 09:30 AM,18-Jun-2025 09:30 AM,Firewood
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Bijnor,2025_UP_1423,"1,00,000","2,81,600",13-Mar-2025 12:00 PM,18-Jun-2025 11:00 AM,19-Jun-2025 05:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Bijnor,2025_UP_1432,"1,00,000","4,03,700",13-Mar-2025 12:00 PM,18-Jun-2025 11:00 AM,19-Jun-2025 05:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Bijnor,2025_UP_1426,"1,00,000","3,87,200",13-Mar-2025 12:00 PM,18-Jun-2025 11:00 AM,19-Jun-2025 05:00 PM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Nagpur",2025_MH_29840,,,16-Jun-2025 09:00 AM,18-Jun-2025 11:50 AM,18-Jun-2025 11:50 AM,Firewood
Govt of West Bengal||Zilla Parishad West Bengal||North 24 Parganas,2025_WB_4715,"3,72,810","9,32,024",29-May-2025 10:00 AM,18-Jun-2025 03:00 PM,30-Jun-2025 10:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||North 24 Parganas,2025_WB_4714,"3,40,484","8,51,209",29-May-2025 10:00 AM,18-Jun-2025 03:00 PM,30-Jun-2025 10:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||North 24 Parganas,2025_WB_4716,"1,66,564","4,16,410",29-May-2025 10:00 AM,18-Jun-2025 03:00 PM,30-Jun-2025 10:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||North 24 Parganas,2025_WB_4713,"2,88,719","7,21,798",29-May-2025 10:00 AM,18-Jun-2025 03:00 PM,30-Jun-2025 10:00 AM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Ayodhya,2025_UP_1567,"20,000","3,75,000",31-May-2025 10:00 AM,18-Jun-2025 03:00 PM,20-Jun-2025 11:00 AM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||North 24 Parganas,2025_WB_4716,"1,66,564","4,16,410",29-May-2025 10:00 AM,18-Jun-2025 03:00 PM,30-Jun-2025 10:00 AM,Others
"Govt of Maharashtra||Public Health Department (Maharashtra)||Directorate of Health Services (Maharashtra)||Dy.Director of Health Services (Transport) Pune||AD,Health Services(Transport) Nagpur",2025_MH_29818,"7,400","7,39,000",10-Jun-2025 12:30 PM,18-Jun-2025 05:00 PM,30-Jun-2025 10:00 AM,Scrap/Disposables
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_30019,"50,000","1,10,000",12-Jun-2025 01:30 PM,18-Jun-2025 05:00 PM,24-Jun-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administartion Osmanabad District - DMA||Municipal Council Tuljapur,2025_MH_29607,"1,78,500","1,78,50,000",26-May-2025 10:00 AM,18-Jun-2025 05:45 PM,23-Jun-2025 11:00 AM,Miscellaneous
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Fatehpur,2025_UP_1569,"25,00,000","85,47,634",01-Jun-2025 12:00 PM,19-Jun-2025 12:00 PM,21-Jun-2025 12:00 PM,Shipping/ Transportation/ Vehicle
Govt of West Bengal||Municipal Affairs Department- West Bengal||Urban Local Bodies||Naihati Municipality,2025_WB_4753,"3,30,000","31,00,000",05-Jun-2025 05:00 PM,19-Jun-2025 05:00 PM,24-Jun-2025 10:00 AM,Shipping/ Transportation/ Vehicle
Govt of West Bengal||Zilla Parishad West Bengal||Howrah,2025_WB_4702,"6,27,932","13,98,508",29-May-2025 11:00 AM,19-Jun-2025 05:00 PM,03-Jul-2025 11:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Solapur District-DMA||Municipal Council Akkalkot,2025_MH_29395,"20,000","5,00,000",20-May-2025 10:00 AM,19-Jun-2025 06:00 PM,25-Jun-2025 12:00 PM,Others
