,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,196028,Clix Capital Services Pvt. Ltd.,"All That Piece And Parcel of Property being Land, Building And All Structures At...I am interested",Mandya,04 Jun 2025,"8,07,00,000.00","80,70,000.00",SARFAESI,--,195119,0,Immovable,Land And Building,0
,194721,Asset Reconstruction Company India Ltd,"All that piece and parcel of Residential Property situated at Plot No 1165-D, Ra...I am interested",Udaipur,04 Jun 2025,"86,50,000.00","8,65,000.00",DRT,Jaipur DRT,193815,0,Immovable,Plot,0
,195136,Punjab National Bank,"Industrial land and building situated at Plot No F-109/3, MIDC, Nasik Industrial...I am interested",Nashik,04 Jun 2025,"2,73,00,000.00","27,30,000.00",DRT,Jaipur DRT,194228,0,Immovable,Industrial Land And Building,0
,194905,State Bank of India,"Flat No. 903, 8th Floor, Gurushikhar- Block-A, Khasra No. 1 to 8, 11 to 17, Vill...I am interested",Jaipur,04 Jun 2025,"18,30,000.00","1,83,000.00",DRT,Jaipur DRT,193998,0,Immovable,Flat,0
,194951,HDFC Bank,Constructed residential block no 13 situated in the Shree Chandravihar Co-Op Hou...I am interested,Surendranagar,04 Jun 2025,"1,00,00,000.00","10,00,000.00",SARFAESI,--,194050,0,Immovable,Residential,0
,196856,HDFC Bank,"Lot 1 -  Property situated at Gala No. 136, 1st Floor, Shiv Shakti Industrial
Pr...I am interested",Mumbai,04 Jun 2025,"1,10,00,000.00","11,00,000.00",SARFAESI,--,195940,0,Immovable,Residential,0
,196858,HDFC Bank,"Lot ii. Bungalow No. 2A, Ground Floor, 1st and Second Floor, Sureshwari
Villas C...I am interested",Mumbai,04 Jun 2025,"9,50,00,000.00","95,00,000.00",SARFAESI,--,195941,0,Immovable,Bunglow,0
,196860,HDFC Bank,"Lot iii. Flat No. 702, admeasuring 63.94 sq. mtrs. Built up area in I Wing on
7t...I am interested",Mumbai,04 Jun 2025,"1,25,00,000.00","12,50,000.00",SARFAESI,--,195942,0,Immovable,Flat,0
,194962,Piramal Capital and Housing Finance Ltd.,"All The Piece And Parcel of The Property
Having An Extent:- Flat No. 201, 2nd Fl...I am interested",Thane,04 Jun 2025,"83,12,500.00","8,31,250.00",SARFAESI,--,194056,0,Immovable,Flat,0
,194963,Piramal Capital and Housing Finance Ltd.,"All The Piece And Parcel of The Property Having An Extent:- Flat No 32, 2nd Flo...I am interested",Raigarh,04 Jun 2025,"22,54,000.00","2,25,400.00",SARFAESI,--,194057,0,Immovable,Flat,0
