Auction ID,Bank/Organisation Name,City/District/Location,last_date_of_submission,Reserve Price,EMD,Category,Source,days_until_submission
194430,Equitas Small Finance Bank,Tirupur,26-05-2025,"18,00,000.00","1,80,000.00",Land,link_of_e_auction,2
195486,Canara Bank,Sriganga Nagar,26-05-2025,"86,00,000.00","8,60,000.00",Land,link_of_e_auction,2
194585,State Bank of India,Jaipur,26-05-2025,"21,60,000.00","2,16,000.00",Flat,link_of_e_auction,2
194907,Kerala Gramin Bank,Kozhikode,26-05-2025,"31,00,000.00","3,10,000.00",Land,link_of_e_auction,2
195494,HDB Financial Services Limited,KANYAKUMARI,26-05-2025,"41,77,882.00","4,17,788.00",Land,link_of_e_auction,2
194164,Piramal Capital and Housing Finance Ltd.,Ghaziabad,26-05-2025,"20,66,000.00","2,06,600.00",Flat,link_of_e_auction,2
194196,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"15,96,000.00","1,59,600.00",Flat,link_of_e_auction,2
194197,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"55,15,950.00","5,51,595.00",Plot,link_of_e_auction,2
195228,Piramal Capital and Housing Finance Ltd.,Dakshina Kannada,26-05-2025,"18,50,000.00","1,85,000.00",Residential,link_of_e_auction,2
195230,Piramal Capital and Housing Finance Ltd.,Belgaum,26-05-2025,"26,50,000.00","2,65,000.00",Flat,link_of_e_auction,2
195232,Piramal Capital and Housing Finance Ltd.,West Godavari District,26-05-2025,"21,90,000.00","2,19,000.00",Plot,link_of_e_auction,2
195233,Piramal Capital and Housing Finance Ltd.,West Godavari District,26-05-2025,"10,40,000.00","1,04,000.00",Plot,link_of_e_auction,2
195235,Piramal Capital and Housing Finance Ltd.,West Godavari District,26-05-2025,"12,10,000.00","1,21,000.00",Plot,link_of_e_auction,2
195236,Piramal Capital and Housing Finance Ltd.,Visakhapatnam,26-05-2025,"44,50,000.00","4,45,000.00",Plot,link_of_e_auction,2
195237,Piramal Capital and Housing Finance Ltd.,Krishna Distt,26-05-2025,"14,00,000.00","1,40,000.00",Plot,link_of_e_auction,2
195238,Piramal Capital and Housing Finance Ltd.,RANGA REDDY DISTRICT,26-05-2025,"12,10,000.00","1,21,000.00",Plot,link_of_e_auction,2
195239,Piramal Capital and Housing Finance Ltd.,EAST GODAVARI DISTRICT,26-05-2025,"23,10,000.00","2,31,000.00",Plot,link_of_e_auction,2
195240,Piramal Capital and Housing Finance Ltd.,SANGAREDDY,26-05-2025,"38,30,000.00","3,83,000.00",Flat,link_of_e_auction,2
195241,Piramal Capital and Housing Finance Ltd.,karimnagar,26-05-2025,"18,90,000.00","1,89,000.00",Land,link_of_e_auction,2
195242,Piramal Capital and Housing Finance Ltd.,Guntur,26-05-2025,"14,40,000.00","1,44,000.00",Flat,link_of_e_auction,2
195255,Piramal Capital and Housing Finance Ltd.,Aurangabad,26-05-2025,"12,20,000.00","1,22,000.00",Flat,link_of_e_auction,2
195256,Piramal Capital and Housing Finance Ltd.,NANDED,26-05-2025,"13,70,000.00","1,37,000.00",Plot,link_of_e_auction,2
195257,Piramal Capital and Housing Finance Ltd.,NANDED,26-05-2025,"13,70,000.00","1,37,000.00",Plot,link_of_e_auction,2
195258,Piramal Capital and Housing Finance Ltd.,Jalgaon,26-05-2025,"7,30,000.00","73,000.00",Plot,link_of_e_auction,2
195259,Piramal Capital and Housing Finance Ltd.,Jalgaon,26-05-2025,"4,20,000.00","42,000.00",Residential,link_of_e_auction,2
195260,Piramal Capital and Housing Finance Ltd.,Nagpur,26-05-2025,"1,36,40,000.00","13,64,000.00",Floor,link_of_e_auction,2
195262,Piramal Capital and Housing Finance Ltd.,Jalandhar,26-05-2025,"3,29,30,000.00","32,93,000.00",Land,link_of_e_auction,2
195263,Piramal Capital and Housing Finance Ltd.,Ludhiana,26-05-2025,"17,50,000.00","1,75,000.00",Residential,link_of_e_auction,2
195264,Piramal Capital and Housing Finance Ltd.,Haridwar,26-05-2025,"5,80,000.00","58,000.00",Land,link_of_e_auction,2
195273,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"10,00,000.00","1,00,000.00",Flat,link_of_e_auction,2
195274,Piramal Capital and Housing Finance Ltd.,Raigarh,26-05-2025,"14,10,000.00","1,41,000.00",Flat,link_of_e_auction,2
195276,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"11,70,000.00","1,17,000.00",Flat,link_of_e_auction,2
195277,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"17,30,000.00","1,73,000.00",Flat,link_of_e_auction,2
195278,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"11,30,000.00","1,13,000.00",Flat,link_of_e_auction,2
195279,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"8,30,000.00","83,000.00",Plot,link_of_e_auction,2
195281,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"43,30,000.00","4,33,000.00",Flat,link_of_e_auction,2
195282,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"44,00,000.00","4,40,000.00",Flat,link_of_e_auction,2
195283,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"9,20,000.00","92,000.00",Plot,link_of_e_auction,2
195284,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"59,20,000.00","5,92,000.00",Flat,link_of_e_auction,2
195285,Piramal Capital and Housing Finance Ltd.,Raigarh,26-05-2025,"14,90,000.00","1,49,000.00",Flat,link_of_e_auction,2
195286,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"18,00,000.00","1,80,000.00",Plot,link_of_e_auction,2
195289,Piramal Capital and Housing Finance Ltd.,Thane,26-05-2025,"10,70,000.00","1,07,000.00",Residential,link_of_e_auction,2
195290,Piramal Capital and Housing Finance Ltd.,Raigad,26-05-2025,"23,40,000.00","2,34,000.00",Flat,link_of_e_auction,2
195314,Piramal Capital and Housing Finance Ltd.,Lucknow,26-05-2025,"25,20,000.00","2,52,000.00",Flat,link_of_e_auction,2
195325,Piramal Capital and Housing Finance Ltd.,Mehsana,26-05-2025,"35,80,000.00","3,58,000.00",Plot,link_of_e_auction,2
195336,Piramal Capital and Housing Finance Ltd.,Bharuch,26-05-2025,"4,50,000.00","45,000.00",Plot,link_of_e_auction,2
195337,Piramal Capital and Housing Finance Ltd.,BanasKantha,26-05-2025,"12,60,000.00","1,26,000.00",Plot,link_of_e_auction,2
195338,Piramal Capital and Housing Finance Ltd.,Ahmedabad,26-05-2025,"8,10,000.00","81,000.00",Flat,link_of_e_auction,2
195339,Piramal Capital and Housing Finance Ltd.,Surat,26-05-2025,"9,20,000.00","92,000.00",Plot,link_of_e_auction,2
195340,Piramal Capital and Housing Finance Ltd.,Surat,26-05-2025,"8,50,000.00","85,000.00",Flat,link_of_e_auction,2
195341,Piramal Capital and Housing Finance Ltd.,Bharuch,26-05-2025,"4,70,000.00","47,000.00",Flat,link_of_e_auction,2
195342,Piramal Capital and Housing Finance Ltd.,Surat,26-05-2025,"5,80,000.00","58,000.00",Flat,link_of_e_auction,2
195498,Piramal Capital and Housing Finance Ltd.,Bangalore,26-05-2025,"25,40,000.00","2,54,000.00",Land,link_of_e_auction,2
195499,Piramal Capital and Housing Finance Ltd.,Hobli,26-05-2025,"35,20,000.00","3,52,000.00",Land,link_of_e_auction,2
195503,Piramal Capital and Housing Finance Ltd.,vellore,26-05-2025,"20,70,000.00","2,07,000.00",Plot,link_of_e_auction,2
195505,Piramal Capital and Housing Finance Ltd.,Chennai,26-05-2025,"29,70,000.00","2,97,000.00",Flat,link_of_e_auction,2
195507,Piramal Capital and Housing Finance Ltd.,Chennai,26-05-2025,"29,70,000.00","2,97,000.00",Flat,link_of_e_auction,2
195508,Piramal Capital and Housing Finance Ltd.,KANCHIPURAM,26-05-2025,"49,50,000.00","4,95,000.00",Flat,link_of_e_auction,2
195509,Piramal Capital and Housing Finance Ltd.,Chennai,26-05-2025,"1,97,10,000.00","19,71,000.00",Plot,link_of_e_auction,2
195510,Piramal Capital and Housing Finance Ltd.,Chennai,26-05-2025,"20,00,000.00","2,00,000.00",Flat,link_of_e_auction,2
195511,Piramal Capital and Housing Finance Ltd.,KANCHIPURAM,26-05-2025,"15,00,000.00","1,50,000.00",Flat,link_of_e_auction,2
195556,Piramal Capital and Housing Finance Ltd.,Surat,26-05-2025,"4,00,000.00","40,000.00",Plot,link_of_e_auction,2
195557,Piramal Capital and Housing Finance Ltd.,Surat,26-05-2025,"7,00,000.00","70,000.00",Plot,link_of_e_auction,2
195558,Piramal Capital and Housing Finance Ltd.,Bharuch,26-05-2025,"7,00,000.00","70,000.00",Flat,link_of_e_auction,2
195606,Piramal Capital and Housing Finance Ltd.,Delhi,26-05-2025,"17,10,000.00","1,71,000.00",Flat,link_of_e_auction,2
195607,Piramal Capital and Housing Finance Ltd.,Ghaziabad,26-05-2025,"25,40,000.00","2,54,000.00",Flat,link_of_e_auction,2
195609,Piramal Capital and Housing Finance Ltd.,Ghaziabad,26-05-2025,"8,60,000.00","86,000.00",Flat,link_of_e_auction,2
195611,Piramal Capital and Housing Finance Ltd.,Delhi,26-05-2025,"54,70,000.00","5,47,000.00",Flat,link_of_e_auction,2
195612,Piramal Capital and Housing Finance Ltd.,Ghaziabad,26-05-2025,"34,30,000.00","3,43,000.00",Flat,link_of_e_auction,2
195613,Piramal Capital and Housing Finance Ltd.,Delhi,26-05-2025,"19,00,000.00","1,90,000.00",Plot,link_of_e_auction,2
195614,Piramal Capital and Housing Finance Ltd.,Delhi,26-05-2025,"18,40,000.00","1,84,000.00",Land,link_of_e_auction,2
195618,Piramal Capital and Housing Finance Ltd.,Delhi,26-05-2025,"80,30,000.00","8,03,000.00",Plot,link_of_e_auction,2
196124,Piramal Capital and Housing Finance Ltd.,Chennai,26-05-2025,"42,80,000.00","4,28,000.00",Flat,link_of_e_auction,2
194264,Repco Home Finance Ltd,Dharmapuri,26-05-2025,"13,05,000.00","1,30,500.00",Land,link_of_e_auction,2
194265,Repco Home Finance Ltd,ERODE,26-05-2025,"13,60,000.00","1,36,000.00",Land,link_of_e_auction,2
194266,Repco Home Finance Ltd,ERODE,26-05-2025,"17,70,000.00","1,77,000.00",Land,link_of_e_auction,2
195375,Union Bank of India,Satara,26-05-2025,"37,50,000.00","3,75,000.00",Land,link_of_e_auction,2
195379,Union Bank of India,Satara,26-05-2025,"14,00,000.00","1,40,000.00",Land,link_of_e_auction,2
195380,Union Bank of India,Satara,26-05-2025,"21,00,000.00","2,10,000.00",Land,link_of_e_auction,2
195382,Union Bank of India,Satara,26-05-2025,"36,00,000.00","3,60,000.00",Land,link_of_e_auction,2
195383,Union Bank of India,Satara,26-05-2025,"41,00,000.00","4,10,000.00",Land,link_of_e_auction,2
195385,Union Bank of India,Satara,26-05-2025,"3,50,000.00","35,000.00",Land,link_of_e_auction,2
195386,Union Bank of India,Satara,26-05-2025,"76,00,000.00","7,60,000.00",Land,link_of_e_auction,2
195387,Union Bank of India,Satara,26-05-2025,"18,00,000.00","1,80,000.00",Land,link_of_e_auction,2
195389,Union Bank of India,Satara,26-05-2025,"58,00,000.00","5,80,000.00",Land,link_of_e_auction,2
195390,Union Bank of India,Satara,26-05-2025,"15,00,000.00","1,50,000.00",Land,link_of_e_auction,2
195391,Union Bank of India,Satara,26-05-2025,"3,20,00,000.00","32,00,000.00",Land,link_of_e_auction,2
195470,Ujjivan Small Finance Bank,Jodhpur,26-05-2025,"6,80,000.00","68,000.00",Land And Building,link_of_e_auction,2
195471,Ujjivan Small Finance Bank,Bundi,26-05-2025,"5,04,000.00","50,400.00",Land And Building,link_of_e_auction,2
195472,Ujjivan Small Finance Bank,Bundi,26-05-2025,"3,03,000.00","30,300.00",Land And Building,link_of_e_auction,2
195473,Ujjivan Small Finance Bank,Bundi,26-05-2025,"5,91,000.00","59,100.00",Residential,link_of_e_auction,2
195475,Ujjivan Small Finance Bank,Bundi,26-05-2025,"7,39,000.00","73,900.00",Residential,link_of_e_auction,2
195476,Ujjivan Small Finance Bank,Bundi,26-05-2025,"3,85,000.00","38,500.00",Land,link_of_e_auction,2
195477,Ujjivan Small Finance Bank,Bundi,26-05-2025,"6,79,000.00","67,900.00",Land,link_of_e_auction,2
195478,Ujjivan Small Finance Bank,Bundi,26-05-2025,"4,97,000.00","49,700.00",Land,link_of_e_auction,2
195479,Ujjivan Small Finance Bank,Jodhpur,26-05-2025,"7,71,000.00","77,100.00",Land And Building,link_of_e_auction,2
195481,Ujjivan Small Finance Bank,Ajmer,26-05-2025,"6,74,000.00","67,400.00",Residential,link_of_e_auction,2
195483,Ujjivan Small Finance Bank,Ajmer,26-05-2025,"8,84,000.00","88,400.00",Land And Building,link_of_e_auction,2
195528,Ujjivan Small Finance Bank,Raipur,26-05-2025,"48,60,000.00","4,86,000.00",Residential,link_of_e_auction,2
194397,Kotak Mahindra Bank,Jaipur,26-05-2025,"3,61,00,000.00","36,10,000.00",Residential,link_of_e_auction,2
194206,Axis Bank,Jabalpur,26-05-2025,"1,70,00,000.00","17,00,000.00",Land And Building,link_of_e_auction,2
195626,Axis Bank,Bangalore,26-05-2025,"23,25,000.00","2,32,500.00",Residential,link_of_e_auction,2
195628,Axis Bank,Hobli,26-05-2025,"43,81,000.00","4,38,100.00",Land,link_of_e_auction,2
195844,Axis Bank,Mangalore,26-05-2025,"40,00,000.00","4,00,000.00",Land,link_of_e_auction,2
195845,Axis Bank,Mangalore,26-05-2025,"19,50,000.00","1,95,000.00",Residential,link_of_e_auction,2
194404,IndusInd Bank,Delhi,26-05-2025,"96,30,000.00","9,63,000.00",Residential,link_of_e_auction,2
194407,IndusInd Bank,Delhi,26-05-2025,"1,61,00,000.00","16,10,000.00",Residential,link_of_e_auction,2
195104,South Indian Bank Ltd.,Mumbai,26-05-2025,"6,50,00,000.00","65,00,000.00",Flat,link_of_e_auction,2
196271,Canara Bank,Mumbai,26-05-2025,"10,00,000.00","1,00,000.00",Movable Assets,link_of_e_auction,2
196276,Canara Bank,Mumbai,26-05-2025,"25,00,000.00","2,50,000.00",Movable Assets,link_of_e_auction,2
196279,Canara Bank,Mumbai,26-05-2025,"18,00,000.00","1,80,000.00",Movable Assets,link_of_e_auction,2
196281,Canara Bank,Mumbai,26-05-2025,"5,65,00,000.00","56,50,000.00",Movable Assets,link_of_e_auction,2
196283,Canara Bank,Mumbai,26-05-2025,"30,00,000.00","3,00,000.00",Movable Assets,link_of_e_auction,2
196285,Canara Bank,Mumbai,26-05-2025,"18,00,000.00","1,80,000.00",Movable Assets,link_of_e_auction,2
196288,Canara Bank,Mumbai,26-05-2025,"6,66,00,000.00","66,60,000.00",Movable Assets,link_of_e_auction,2
194943,State Bank of India,Hubli,26-05-2025,"41,17,500.00","4,11,175.00",Residential,link_of_e_auction,2
194945,State Bank of India,Hubli,26-05-2025,"36,00,900.00","3,60,090.00",Plot,link_of_e_auction,2
194743,Bank of Baroda,Nashik,26-05-2025,"73,00,000.00","7,30,000.00",Land,link_of_e_auction,2
194029,Bank Of India,Thane,26-05-2025,"24,42,816.00","2,45,000.00",Shop,link_of_e_auction,2
194421,HDB Financial Services Limited,Bhopal,26-05-2025,"52,79,625.00","5,27,962.00",Shop,link_of_e_auction,2
194557,HDB Financial Services Limited,Jaipur,26-05-2025,"63,45,742.00","6,34,574.00",Land,link_of_e_auction,2
194399,Mumbai District Central Co-op. Bank Ltd,Raigad,26-05-2025,"2,94,48,000.00","29,44,800.00",Land,link_of_e_auction,2
196387,TruHome Finance Limited,Panipat,26-05-2025,"20,00,000.00","2,00,000.00",Residential,link_of_e_auction,2
194459,Omkara Assets Reconstruction Private Limited,Hyderabad,26-05-2025,"1,22,00,000.00","12,20,000.00",Floor,link_of_e_auction,2
194461,Omkara Assets Reconstruction Private Limited,Nagpur,26-05-2025,"10,00,000.00","1,00,000.00",Plot,link_of_e_auction,2
195693,Grihum Housing Finance Limited,MIRZAPUR,26-05-2025,"3,57,000.00","35,700.00",Land,link_of_e_auction,2
196371,Grihum Housing Finance Limited,Ghaziabad,26-05-2025,"12,60,000.00","1,26,000.00",Plot,link_of_e_auction,2
196373,Grihum Housing Finance Limited,Faridabad,26-05-2025,"15,00,000.00","1,50,000.00",Residential,link_of_e_auction,2
195086,Authum Investment & Infrastructure Ltd,Pune,26-05-2025,"4,25,00,000.00","42,50,000.00",Land,link_of_e_auction,2
195122,Authum Investment & Infrastructure Ltd,Pune,26-05-2025,"50,00,000.00","5,00,000.00",Flat,link_of_e_auction,2
195126,Authum Investment & Infrastructure Ltd,Pune,26-05-2025,"22,00,000.00","2,20,000.00",Shop,link_of_e_auction,2
195533,PNB Housing Finance Limited,Ranchi,26-05-2025,"21,13,000.00","2,11,300.00",Land,link_of_e_auction,2
195535,PNB Housing Finance Limited,Kolkata,26-05-2025,"25,85,000.00","2,58,500.00",Flat,link_of_e_auction,2
195536,PNB Housing Finance Limited,24 Pargana,26-05-2025,"22,23,000.00","2,22,300.00",Land,link_of_e_auction,2
195537,PNB Housing Finance Limited,Kolkata,26-05-2025,"22,42,000.00","2,24,200.00",Flat,link_of_e_auction,2
195538,PNB Housing Finance Limited,Greater Noida,26-05-2025,"4,45,50,000.00","44,55,000.00",Flat,link_of_e_auction,2
195540,PNB Housing Finance Limited,Gurgaon,26-05-2025,"42,03,000.00","4,20,300.00",Shop,link_of_e_auction,2
195541,PNB Housing Finance Limited,Greater Noida,26-05-2025,"21,05,000.00","2,10,500.00",Plot,link_of_e_auction,2
195542,PNB Housing Finance Limited,Kanpur,26-05-2025,"20,55,000.00","2,05,500.00",Land,link_of_e_auction,2
195545,PNB Housing Finance Limited,Jalandhar,26-05-2025,"13,68,000.00","1,36,800.00",Residential,link_of_e_auction,2
195546,PNB Housing Finance Limited,Jaipur,26-05-2025,"10,37,000.00","1,03,700.00",Residential,link_of_e_auction,2
195548,PNB Housing Finance Limited,Jaipur,26-05-2025,"7,82,000.00","78,200.00",Residential,link_of_e_auction,2
195549,PNB Housing Finance Limited,Alwar,26-05-2025,"8,98,000.00","89,800.00",Flat,link_of_e_auction,2
195550,PNB Housing Finance Limited,Alwar,26-05-2025,"3,78,000.00","37,800.00",Flat,link_of_e_auction,2
194508,Hinduja Housing Finance Limited,Jagtial,26-05-2025,"15,08,160.00","1,50,816.00",Residential,link_of_e_auction,2
194509,Hinduja Housing Finance Limited,Mulugu,26-05-2025,"19,18,513.00","1,91,851.00",Residential,link_of_e_auction,2
194510,Hinduja Housing Finance Limited,Jagtial,26-05-2025,"15,93,976.00","1,59,398.00",Residential,link_of_e_auction,2
