Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date
62482,"Industrial Land and Building in Uthiragidikaval, Namakkal","Namakkal, Tamil Nadu",Canara Bank,"₹3,87,00,000",21/07/2025
62281,"Flat in Ayapakkam Village, Thiruvallur","Tiruvallur, Tamil Nadu",Debts Recovery Tribunal,"₹25,00,000",21/07/2025
62291,"Plot in Vaiganallur North, Karur","Karur, Tamil Nadu",Canara Bank,"₹81,87,000",21/07/2025
32875,"Plot in Kempatti Village, Krishnagiri","Krishnagiri, Tamil Nadu",HDFC Bank,"₹31,00,000",21/07/2025
31215,"Plot in Sevaganapalli, Krishnagiri","Krishnagiri, Tamil Nadu",HDFC Bank,"₹39,50,000",21/07/2025
31216,"Plot in Kottapalli, Krishnagiri","Krishnagiri, Tamil Nadu",HDFC Bank,"₹26,20,000",21/07/2025
50191,"Land in Kagganur Village, Krishnagiri","Krishnagiri, Tamil Nadu",HDFC Bank,"₹29,00,000",21/07/2025
55121,Flat in Sarani,"Sarani, Kolkata, West Bengal",Canara Bank,"₹15,00,000",20/07/2025
62241,"Land in Sottathatti Village, Sivagangai","Sivaganga, Tamil Nadu",City Union Bank,"₹16,87,00,000",20/07/2025
62242,"Land in Mukkudi, Sivaganga","Sivaganga, Tamil Nadu",City Union Bank,"₹13,00,000",20/07/2025
62243,"Land and Building in Uthangudi Village, Madurai","Madurai, Tamil Nadu",City Union Bank,"₹2,32,00,000",20/07/2025
62244,"Land in Mukkudi Village, Sivaganga","Sivaganga, Tamil Nadu",City Union Bank,"₹38,00,000",20/07/2025
62245,"Land in Nedungulam Village, Madurai","Madurai, Tamil Nadu",City Union Bank,"₹26,00,000",20/07/2025
62246,"Land in Sottathattai, Sivaganga","Sivaganga, Tamil Nadu",City Union Bank,"₹1,90,00,000",20/07/2025
59640,Flat in Sarani,"Sarani, Kolkata, West Bengal",Canara Bank,"₹15,00,000",20/07/2025
59402,Residential Flat in South 24 Paraganas,"South 24 Parganas, West Bengal",Indian Bank,"₹18,98,000",20/07/2025
59937,Land in North 24 Parganas,"North 24 Parganas, West Bengal",Hinduja Housing Finance,"₹5,00,00,000",19/07/2025
62047,House in Sultanwind,"Sultanwind, Amritsar, Punjab",ICICI Bank,"₹17,00,000",18/07/2025
61939,"Land and Building in Ulundur Village, Villupuram","Viluppuram, Tamil Nadu",City Union Bank,"₹11,00,000",18/07/2025
61942,Plot in Aggar Nagar - B Block,"Aggar Nagar - B Block, Ludhiana, Punjab",ICICI Bank,"₹1,88,00,000",18/07/2025
62690,Plot in chikmagalur,"Chikkamagaluru, Karnataka",Canara Bank,"₹73,50,000",18/07/2025
62532,"Land in Keeranur Village, Pudukkottai","Pudukkottai, Tamil Nadu",jana small finance,"₹14,04,900",18/07/2025
62530,"Industrial Property in Elanthanchery Village, Tiruvallur","Tiruvallur, Tamil Nadu",Omkara Assets Reconstruction,"₹5,50,00,000",18/07/2025
62523,"Land and Building in Thottipalayam Village, Tiruppur","Tirupur, Tamil Nadu",jana small finance,"₹31,21,000",18/07/2025
62506,"Land & Building with plant & machinery in Pallapatti, Salem","Salem, Tamil Nadu",Omkara Assets Reconstruction,"₹3,50,00,000",18/07/2025
62502,"Industrial Land and Building in Naickenpatti Village, Salem","Salem, Tamil Nadu",Omkara Assets Reconstruction,"₹1,50,00,000",18/07/2025
62497,"Industrial Property in Kotta Mettupatty Village, Salem","Salem, Tamil Nadu",Omkara Assets Reconstruction,"₹5,50,00,000",18/07/2025
61559,Plot in North 24 Parganas,"North 24 Parganas, West Bengal",ICICI Bank,"₹28,00,000",18/07/2025
61552,Flat in Baranagar,"Baranagar, Kolkata, West Bengal",Bank Of Baroda,"₹55,38,510",17/07/2025
61556,Land and Building in South 24 Paraganas,"South 24 Parganas, West Bengal",Bank Of Baroda,"₹2,59,16,587",17/07/2025
61623,"Flat in Madhavaram, Tiruvallur","Tiruvallur, Tamil Nadu",Canara Bank,"₹49,00,000",17/07/2025
62454,"Flat in Nandhivaram, Kanchipuram","Kanchipuram, Tamil Nadu",IIFL Home Finance Limited,"₹32,51,000",17/07/2025
62283,"Apartment in Ikkadu Village, Thiruvallur","Tiruvallur, Tamil Nadu",Canara Bank,"₹26,24,000",17/07/2025
