,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,194430,Equitas Small Finance Bank,"In Tiruppur Registration District in Avinashi Sub Registration District in Avinashi Taluk in Kalipalayam Village in S.F.No.298, P.ac.4.48 Kist of Rs.3.83 bounded as follows:
North of - Northern side r...I am interested",Tirupur,26 May 2025,"18,00,000.00","1,80,000.00",SARFAESI,--,193526,0,Immovable,Land,0
,195486,Canara Bank,"4T Sri Karanpur sri  Ganganagar  Area in Hec 2.530 ,

4T Sri KaranpurSri Ganganagar  Area in Hec 1.265,1.265,3.162I am interested",Sriganga Nagar,26 May 2025,"86,00,000.00","8,60,000.00",DRT,Jaipur DRT,194578,0,Immovable,Land,0
,194585,State Bank of India,"Flat No. 802, 7th Floor Gurushikhar- Block-1, Khasra No. 1 to 8, 11 to 17, Village-Nanakpura/Hema ki Naganl, Tehsil-Sanganer, JaipurI am interested",Jaipur,26 May 2025,"21,60,000.00","2,16,000.00",DRT,Jaipur DRT,193680,0,Immovable,Flat,0
,194907,Kerala Gramin Bank,"All that part and parcel of property consisting 
of 4.577 Ares and all other things attached 
thereto in Sy No. 58/2 Re Survey No 25/1 of 
Peruvayal Village Kozhikode Taluk of 
Kozhikode District  
Bo...I am interested",Kozhikode,26 May 2025,"31,00,000.00","3,10,000.00",SARFAESI,--,194001,0,Immovable,Land,0
,195494,HDB Financial Services Limited,"All That Piece And Parcel Of Property In District Kanyakumari, Registration District Marthandam, Sub Registrar Office Palugal, Taluka Vilavancode, Idaikodu Village, Re-Sy 369/15, Old Sy 1949, Measurin...I am interested",KANYAKUMARI,26 May 2025,"41,77,882.00","4,17,788.00",SARFAESI,--,194586,0,Immovable,Land,0
,194164,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent Flat No 4 upper Ground Fir Middle Side NA (refer Sketch) Plot No 31 Vikram Enclave
(refer Sketch) Plot No 31 Vikram Enclave Pasonda Loni Ghazi...I am interested",Ghaziabad,26 May 2025,"20,66,000.00","2,06,600.00",SARFAESI,--,193258,0,Immovable,Flat,0
,194196,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent:- Flat No.g-1, Grd Floor, New Ganesh Krupa NA Chsl, Navghar Cross Road No. 5 Chsl, Navghar Cross Road No. 5 Opp Shree Ram Jwellers Thane Mahar...I am interested",Thane,26 May 2025,"15,96,000.00","1,59,600.00",SARFAESI,--,193290,0,Immovable,Flat,0
,194197,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent - Unit No-121, 1st Floor, Global Estate, NA Dombivali Industrial Estate, plot no C-9 Dombivali Industrial Estate, plot no C-9 Kalyan Shil Road...I am interested",Thane,26 May 2025,"55,15,950.00","5,51,595.00",SARFAESI,--,193291,0,Immovable,Plot,0
,195228,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent S No.18-2b As Per Rtc 18-2bp2 Belma Village D No. 1-6(1), Deralakatte Mangalore Dakshin Kannada Karnataka-575018 Boundaries As North- Aproach ...I am interested",Dakshina Kannada,26 May 2025,"18,50,000.00","1,85,000.00",SARFAESI,--,194320,0,Immovable,Residential,0
,195230,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent- Risen Enclave, Flat No. G3, Ground Floor Shahu Nagar Kangrali BK Belgaum Karnataka:- 590010 Boundaries As:- North: Building set back Then P/n...I am interested",Belgaum,26 May 2025,"26,50,000.00","2,65,000.00",SARFAESI,--,194322,0,Immovable,Flat,0
,195232,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent Plot No-3, SS Venturesphase-5, Timmapuaram Vilage, Near Vird Trust Hospital, Dwaraka Tirumala Mandal Dwaraka Tirumala Mandal Dwarakatriumala W...I am interested",West Godavari District,26 May 2025,"21,90,000.00","2,19,000.00",SARFAESI,--,194323,0,Immovable,Plot,0
,195233,Piramal Capital and Housing Finance Ltd.,"All The Piece and Parcel of The Property Having An Extent: Plot No-38, SS Ventures Phase-5, Timmapuara Na Village, Near Vird Trust Hospital, Village, Nearvirrd Trust Hospital, Dwaraka Tirumala Mandal ...I am interested",West Godavari District,26 May 2025,"10,40,000.00","1,04,000.00",SARFAESI,--,194325,0,Immovable,Plot,0
,195235,Piramal Capital and Housing Finance Ltd.,"All The Piece and Parcel of The Property Having An Extent: Near D. No: 16-38-1/B, Ajarampuntha Roa Plot No: 4, T. Vemavaram, Tanuku Mandal W. G. Dt W. G. Dt Tanuku Municipality West Godavari Andhra Pr...I am interested",West Godavari District,26 May 2025,"12,10,000.00","1,21,000.00",SARFAESI,--,194326,0,Immovable,Plot,0
,195236,Piramal Capital and Housing Finance Ltd.,"All The Piece and Parcel of The Property Having An Extent: Plot No 69 & 70, Simhadr Appanna Layout Pandalapaka Village, Anandapuam Mandal Near Yalamarthy Ploytechnic CI Visakhapatnam Vishakhapatnam An...I am interested",Visakhapatnam,26 May 2025,"44,50,000.00","4,45,000.00",SARFAESI,--,194327,0,Immovable,Plot,0
,195237,Piramal Capital and Housing Finance Ltd.,"All The Piece And Parcel of The Property Having An Extent: Plot No:68, Road No 2, Phase-2, Dream City, LP.No:11/2016, Near B.J.J. Statue, Village Road, Komaravolu Vlg, Pamaru Mandal, Krishna Andhra Pr...I am interested",Krishna Distt,26 May 2025,"14,00,000.00","1,40,000.00",SARFAESI,--,194328,0,Immovable,Plot,0
