Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
"Ministry of Petroleum and Natural Gas||Engineers India Limited||Head Office-Delhi,EIL,MoPNG||Contract and Purchase Department Delhi- EIL,MoPNG",2025_EIL_81,,"10,43,61,536",29-May-2025 04:00 PM,30-May-2025 12:00 PM,02-Jun-2025 11:00 AM,Miscellaneous
"Ministry of Petroleum and Natural Gas||Engineers India Limited||Head Office-Delhi,EIL,MoPNG||Contract and Purchase Department Delhi- EIL,MoPNG",2025_EIL_82,,"6,60,25,294",29-May-2025 04:00 PM,30-May-2025 12:00 PM,02-Jun-2025 02:00 PM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4709,"21,046","2,10,461",24-May-2025 11:00 AM,30-May-2025 03:00 PM,05-Jun-2025 02:00 PM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4708,"26,184","2,61,845",24-May-2025 11:00 AM,30-May-2025 03:00 PM,05-Jun-2025 11:00 AM,Miscellaneous
Govt of Kerala||Water Resources Department||Minor Irrigation Division Kottayam,2025_GOK_112,"2,073","82,911",24-May-2025 05:00 PM,30-May-2025 04:00 PM,02-Jun-2025 09:00 AM,Others
Govt of Kerala||Water Resources Department||Minor Irrigation Division Kottayam,2025_GOK_111,"50,000","20,65,910",24-May-2025 04:00 PM,30-May-2025 04:00 PM,02-Jun-2025 09:30 AM,Others
Govt of Kerala||Water Resources Department||Minor Irrigation Division Kottayam,2025_GOK_110,"50,000","27,40,901",24-May-2025 05:00 PM,30-May-2025 04:00 PM,02-Jun-2025 09:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||CEO Kasauli,2025_MoD_3942,"20,000","50,000",03-May-2025 05:05 PM,30-May-2025 05:00 PM,02-Jun-2025 11:15 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Paschim Midnapore,2025_WB_4652,"1,60,000","16,00,000",14-May-2025 12:00 PM,30-May-2025 05:00 PM,05-Jun-2025 10:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||District Collector, Osmanabad||Shri Tuljabhavani Temple Trust Tuljapur||Shri Tuljabhavani Temple Tuljapur",2025_MH_29428,,"32,55,000",15-May-2025 10:00 AM,30-May-2025 06:00 PM,05-Jun-2025 02:00 PM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||District Collector, Osmanabad||Shri Tuljabhavani Temple Trust Tuljapur||Shri Tuljabhavani Temple Tuljapur",2025_MH_29425,,"1,69,05,000",15-May-2025 10:00 AM,30-May-2025 06:00 PM,05-Jun-2025 11:00 AM,Others
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1543,"75,688","2,800",17-May-2025 06:00 PM,30-May-2025 06:00 PM,02-Jun-2025 10:00 AM,Food Products
