Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Bijnor,2025_UP_1531,"10,00,000","32,37,600",09-May-2025 03:00 PM,26-May-2025 03:00 PM,28-May-2025 01:00 PM,Mining
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Nagarpanchayat Parseoni,2025_MH_29494,"60,000","14,66,000",19-May-2025 11:00 AM,26-May-2025 03:00 PM,28-May-2025 11:00 AM,Miscellaneous
Govt of West Bengal||Irrigation and Waterways Department||CE - D AND R,2025_WB_4673,"71,400","1,80,105",21-May-2025 04:00 PM,26-May-2025 04:00 PM,02-Jun-2025 11:00 AM,Others
Govt of West Bengal||Irrigation and Waterways Department||CE - D AND R,2025_WB_4672,"1,96,091","9,89,271",21-May-2025 04:00 PM,26-May-2025 04:00 PM,02-Jun-2025 11:00 AM,Others
Govt of West Bengal||Irrigation and Waterways Department||CE - D AND R,2025_WB_4674,"38,150","96,232",21-May-2025 04:00 PM,26-May-2025 04:00 PM,02-Jun-2025 11:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Gondia",2025_MH_29476,,,24-May-2025 09:00 AM,26-May-2025 04:15 PM,26-May-2025 04:15 PM,Firewood
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3932,"1,90,000","19,50,377",05-May-2025 11:00 AM,26-May-2025 04:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3933,"1,25,000","12,49,358",05-May-2025 11:00 AM,26-May-2025 04:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3935,"30,000","2,96,115",05-May-2025 11:00 AM,26-May-2025 04:30 PM,28-May-2025 10:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Umred,2025_MH_29556,"20,000",25,21-May-2025 11:00 AM,26-May-2025 05:00 PM,29-May-2025 11:00 AM,Scrap/Disposables
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||DEO- Cochin,2025_MoD_3960,"12,700","1,27,000",19-May-2025 10:00 AM,26-May-2025 05:00 PM,29-May-2025 10:00 AM,Others
Govt of Haryana||Red Cross Society - Narnaul,2025_HR_981,"1,60,000",,14-May-2025 01:00 PM,26-May-2025 05:00 PM,28-May-2025 10:00 AM,Others
Govt of Jharkhand||Jharkhand State Forest Development Corp. Ltd.||Director (Marketing) - JSFDC||Dy.Director (HQ) - JSFDC,2025_JH_165,"7,07,428",,22-May-2025 04:30 PM,26-May-2025 05:00 PM,28-May-2025 11:00 AM,Miscellaneous
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3926,"10,800","1,07,469",05-May-2025 11:00 AM,26-May-2025 05:10 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3921,"2,500","32,891",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3920,"6,500","1,29,368",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||DEO- Allahabad,2025_MoD_3923,"5,000","28,000",03-May-2025 10:30 AM,26-May-2025 05:30 PM,29-May-2025 09:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3925,"8,300","82,163",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3920,"6,500","1,29,368",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3931,"8,000","77,268",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3918,"2,500","25,303",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3922,"33,000","3,29,571",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3924,"18,000","1,75,428",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3919,"1,300","12,434",05-May-2025 10:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3930,"16,000","1,60,407",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3934,"28,000","2,79,012",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3936,500,"13,86,735",05-May-2025 11:00 AM,26-May-2025 05:30 PM,28-May-2025 10:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29498,"1,00,000","7,00,000",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29496,"1,00,000","5,00,000",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29497,"1,00,000","5,00,000",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29500,"1,00,000","8,68,750",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29503,"1,00,000","8,68,750",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29491,"1,00,000","5,00,000",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29502,"1,00,000","8,68,750",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29499,"1,00,000","7,00,000",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29493,"1,00,000","5,00,000",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29491,"1,00,000","5,00,000",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29501,"1,00,000","8,68,750",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Jalgaon Jamod,2025_MH_29504,"1,00,000","7,00,000",16-May-2025 01:00 PM,26-May-2025 06:00 PM,29-May-2025 10:00 AM,Land/Building
