Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1565,"5,00,000",260,28-May-2025 06:00 PM,04-Jun-2025 11:00 AM,05-Jun-2025 10:00 AM,Miscellaneous
"Govt of Maharashtra||Public Health Department (Maharashtra)||Directorate of Health Services (Maharashtra)||Dy.Director of Health Services (Transport) Pune||AD,Health Services(Transport) Nagpur",2025_MH_29532,"10,000","19,25,608",20-May-2025 12:30 PM,04-Jun-2025 02:00 PM,18-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Yavatmal,2025_MH_29615,,,02-Jun-2025 02:00 PM,04-Jun-2025 03:40 PM,04-Jun-2025 03:40 PM,Firewood
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Patashpur II Panchayat Samity,2025_WB_4730,"10,000","3,00,000",30-May-2025 09:00 AM,04-Jun-2025 04:00 PM,09-Jun-2025 12:00 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Patashpur II Panchayat Samity,2025_WB_4729,"30,000","11,00,000",30-May-2025 09:00 AM,04-Jun-2025 04:00 PM,09-Jun-2025 03:00 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Patashpur II Panchayat Samity,2025_WB_4731,"25,000","10,00,000",30-May-2025 09:00 AM,04-Jun-2025 04:00 PM,09-Jun-2025 01:30 PM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Buldhana District-DMA||Municipal Council Nandura,2025_MH_29622,"25,000","6,61,570",29-May-2025 01:10 PM,04-Jun-2025 05:00 PM,06-Jun-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Savda,2025_MH_29517,"50,000","1,86,200",17-May-2025 10:00 AM,04-Jun-2025 05:00 PM,06-Jun-2025 11:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Savda,2025_MH_29519,"50,000","3,32,550",17-May-2025 10:00 AM,04-Jun-2025 05:00 PM,06-Jun-2025 11:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Savda,2025_MH_29519,"50,000","3,32,550",17-May-2025 10:00 AM,04-Jun-2025 05:00 PM,06-Jun-2025 11:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Savda,2025_MH_29518,"50,000","2,98,300",17-May-2025 10:00 AM,04-Jun-2025 05:00 PM,06-Jun-2025 11:00 AM,Others
