Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date
64939,Land for Sale,"Masuda, Ajmer, Rajasthan",Au small finance bank,"₹5,50,000",19/08/2025
64649,"Land in Saliya, PanchMahal","Panchmahal, Gujarat",Au small finance bank,"₹4,00,000",19/08/2025
64765,Land for Sale,"Tibbi, Hanumangarh, Rajasthan",Au small finance bank,"₹16,00,000",12/08/2025
64794,Land for Sale,"Ramganjmandi, Kota, Rajasthan",Au small finance bank,"₹12,80,000",12/08/2025
64679,"Flat in Nandej, Ahmedabad","Ahmedabad, Gujarat",Au small finance bank,"₹9,50,000",12/08/2025
64789,Land for Sale,"Bhinder, Udaipur, Rajasthan",Au small finance bank,"₹8,00,000",12/08/2025
64780,Land for Sale,"SIKRAI, Dausa, Rajasthan",Au small finance bank,"₹34,00,000",12/08/2025
64770,Land for Sale,"RAJGARH, Churu, Rajasthan",Au small finance bank,"₹10,50,000",12/08/2025
64769,Land for Sale,"Udaipurwati, Jhunjhunu, Rajasthan",Au small finance bank,"₹5,65,000",12/08/2025
64767,Land for Sale,"Bandikui, Dausa, Rajasthan",Au small finance bank,"₹51,65,000",12/08/2025
64922,Plot for Sale,"DARJIYO KE GALI, Dausa, Rajasthan",Au small finance bank,"₹34,00,000",12/08/2025
64923,Plot for Sale,"Udpura, Kota, Rajasthan",Au small finance bank,"₹12,80,000",12/08/2025
64927,Plot for Sale,"Bandikui, Dausa, Rajasthan",Au small finance bank,"₹51,65,000",12/08/2025
64930,Plot for Sale,"Bhinder, Udaipur, Rajasthan",Au small finance bank,"₹8,00,000",12/08/2025
64934,Plot for Sale,"THIMAU BARI, Churu, Rajasthan",Au small finance bank,"₹10,50,000",12/08/2025
64937,Plot for Sale,"Gangadhar, Jhalawar, Rajasthan",Au small finance bank,"₹13,50,000",12/08/2025
63343,Residential Flat in South 24 Paraganas,"South 24 Parganas, West Bengal",Punjab National Bank,"₹24,51,000",11/08/2025
59508,"Flat in Undri, Pune","Pune, Maharashtra",Axis Bank,"₹21,01,059",09/08/2025
59509,"Flat in Undri, Pune","Pune, Maharashtra",Axis Bank,"₹21,01,059",09/08/2025
6780,"Land and building in Ekkattuthangal, Chennai","Chennai, Tamil Nadu",Repco Home Finance,"₹84,19,000",07/08/2025
64627,Plot in Bidarahalli,"Bidarahalli, Bangalore Urba, Karnataka",Repco Home Finance,"₹38,57,000",07/08/2025
27802,"Land in Cholanmaligai, Thanjavur","Thanjavur, Tamil Nadu",IDBI Bank,"₹14,72,000",06/08/2025
64694,Land for Sale,"Marwar Junction, Pali, Rajasthan",Au small finance bank,"₹7,20,000",05/08/2025
64719,Plot for Sale,"Udaipurwati, Jhunjhunu, Rajasthan",Au small finance bank,"₹5,65,000",05/08/2025
64724,Plot for Sale,"JHOTWARA, Jaipur, Rajasthan",Au small finance bank,"₹15,00,000",05/08/2025
64726,Plot for Sale,"Tibbi, Hanumangarh, Rajasthan",Au small finance bank,"₹16,00,000",05/08/2025
64730,Plot for Sale,"Aauwa, Pali, Rajasthan",Au small finance bank,"₹7,20,000",05/08/2025
64733,Plot for Sale,"Gram Jaswantpura, Ajmer, Rajasthan",Au small finance bank,"₹5,50,000",05/08/2025
64708,Plot for Sale,"HISNIYA, Bhilwara, Rajasthan",Au small finance bank,"₹6,50,000",05/08/2025
64759,Plot for Sale,"Sumerpur, Pali, Rajasthan",Au small finance bank,"₹70,60,000",05/08/2025
64762,Plot for Sale,"Jhotwara, Jaipur, Rajasthan",Au small finance bank,"₹73,50,000",05/08/2025
64763,Plot for Sale,"G.P.Dahimata, Bhilwara, Rajasthan",Au small finance bank,"₹6,05,000",05/08/2025
64764,Plot for Sale,"Sanderao, Pali, Rajasthan",Au small finance bank,"₹7,30,000",05/08/2025
64704,Plot for Sale,"Bhadrajune, Jalore, Rajasthan",Au small finance bank,"₹9,50,000",05/08/2025
64699,Land for Sale,"Gangadhar, Jhalawar, Rajasthan",Au small finance bank,"₹13,50,000",05/08/2025
64696,Plot for Sale,"Khatipura Road, Jaipur, Rajasthan",Au small finance bank,"₹73,50,000",05/08/2025
64645,"Plot in Kotada, Banaskanta","Banaskantha, Gujarat",Au small finance bank,"₹13,00,000",05/08/2025
64589,House in Bhamian Kalan,"Bhamian Kalan, Ludhiana, Punjab",Au small finance bank,"₹5,70,000",05/08/2025
64590,Land in Sherpur Khurd - Ludhiana Road,"Sherpur Khurd - Ludhiana Road, Ludhiana, Punjab",Au small finance bank,"₹14,00,000",05/08/2025
