Auction ID,Bank/Organisation Name,City/District/Location,last_date_of_submission,Reserve Price,EMD,Category,Source,days_until_submission
L17120MH1992PLC066880,Bombay Rayon Fashions Limited,-,03-06-2025,839040.0,-,-,IBBI,2.0
L17120MH1992PLC066880,Bombay Rayon Fashions Limited,-,03-06-2025,1523610.0,-,-,IBBI,2.0
U90000GJ2010PLC059257,SORT INDIA ENVIRO SOLUTIONS LIMITED,-,23-05-2025,25000.0,-,-,IBBI,-9.0
U23203TG2000PLC033782,SAGAR INFRA RAIL INTERNATIONAL LIMITED,-,20-05-2025,10615000.0,-,-,IBBI,-12.0
U63090MH2001PTC133857,Protocol Marine Services Private Limited,-,04-06-2025,108000000.0,-,-,IBBI,3.0
U29190MH1992PTC065241,GOODDAY VENTURES INDIA PVT LTD,-,04-06-2025,36000000.0,-,-,IBBI,3.0
U27109TG1990PLC012004,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,-,19-05-2025,127670000.0,-,-,IBBI,-13.0
U27109TG1990PLC012004,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,-,19-05-2025,127670000.0,-,-,IBBI,-13.0
U27109TG1990PLC012004,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,-,19-05-2025,67606000.0,-,-,IBBI,-13.0
U27109TG1990PLC012004,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,-,19-05-2025,74249000.0,-,-,IBBI,-13.0
U27310PN1995PLC090557,Unimetal Castings Limited,-,19-05-2025,26042766.0,-,-,IBBI,-13.0
U45400DL2009PTC189270,Sharma Kalypso Private Limited,-,03-06-2025,11826000.0,-,-,IBBI,2.0
U27109TG1990PLC012004,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,-,16-05-2025,127670000.0,-,-,IBBI,-16.0
U27109TG1990PLC012004,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,-,16-05-2025,67606000.0,-,-,IBBI,-16.0
U27109TG1990PLC012004,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,-,16-05-2025,74249000.0,-,-,IBBI,-16.0
U51229TN2005PTC058063,RELIABLE CASHEW COMPANY PRIVATE LIMITED,-,23-05-2025,105000000.0,-,-,IBBI,-9.0
U51229TN2005PTC058063,RELIABLE CASHEW COMPANY PRIVATE LIMITED,-,23-05-2025,78000000.0,-,-,IBBI,-9.0
U51229TN2005PTC058063,RELIABLE CASHEW COMPANY PRIVATE LIMITED,-,23-05-2025,13000000.0,-,-,IBBI,-9.0
U51229TN2005PTC058063,RELIABLE CASHEW COMPANY PRIVATE LIMITED,-,23-05-2025,10300000.0,-,-,IBBI,-9.0
U51229TN2005PTC058063,RELIABLE CASHEW COMPANY PRIVATE LIMITED,-,23-05-2025,9100000.0,-,-,IBBI,-9.0
U51229TN2005PTC058063,RELIABLE CASHEW COMPANY PRIVATE LIMITED,-,23-05-2025,4400000.0,-,-,IBBI,-9.0
