,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,196018,Equitas Small Finance Bank,"Item-1 SCHEDULE-C
All that piece and parcel of land and building, bearing Plot No.91 Part and Plot No.92 Part, Comprised in S.No.14/3 with an extent of UDS 350 Sq.ft., (Out of 3000 Sq.ft.) and along w...I am interested",Chennai,29 May 2025,"20,00,000.00","2,00,000.00",SARFAESI,--,195107,1,Immovable,Land And Building,0
,195683,Phoenix ARC Private Limited.,"House No. 350/59A,* situated at Nanda kheda, Ward: Labour colony, Lucknow- 226017 
Boundaries : 
East-: remaining part of building no. 350/59A, 
West-: property of Ratan Maheshari,(building)
North-: 2...I am interested",Lucknow,29 May 2025,"2,31,54,200.00","23,15,420.00",SARFAESI,--,194774,0,Immovable,Residential,0
,194590,DMI Housing Finance Pvt Ltd,"BHAWAN NO. 65, KHASRA 
NO. 272MI. SITUATED AT 
GALI NO. 3, SAIN VIHAR, 
VILLAGE DUNDAHEDA, 
NEAR VIJAYNAGAR, 
PARGANA LONI, TEHSIL & 
DISTT. GHAZIABAD, UTTAR 
PRADESH 201001I am interested",Ghaziabad,29 May 2025,"30,87,120.00","3,08,712.00",SARFAESI,--,193684,0,Immovable,Residential,0
,196413,State Bank of India,"All that peice and parcel of the Residential flat bearing No 306, in B Block on third floor with super built up area measuring 648 sq.ft i.e. 60.2 sq.mtrs in ROTSON PARK apartment situated at Gopanako...I am interested",Hubli,29 May 2025,"20,04,750.00","2,00,475.00",SARFAESI,--,195501,0,Immovable,Flat,0
,196424,State Bank of India,"All that part and parcel of the house property situated at Sy.No 74B/1A1/A/22G at miskin compound, Near government school, Pavan Nagari, Saptapur, Dharwad in Muncipal Ward No. 14, PID No. 14/576, and ...I am interested",Dharwad,29 May 2025,"66,83,400.00","6,68,340.00",SARFAESI,--,195507,0,Immovable,Residential,0
,196429,State Bank of India,"TENDER No: SBI RACPC/HBL/10/2025-26
Property owned by: Shivamurthayya S/o Sadashivayya Chandrashekarmath (deceased)
All that part and parcel land and building in First Floor measuring 1533 sq. ft in C...I am interested",Hubli,29 May 2025,"36,43,200.00","3,64,320.00",SARFAESI,--,195514,0,Immovable,Floor,0
,194436,Federal Bank Ltd,All the piece and parcel of the land measuring 0.64.65 Hectare in this common half share western side 0.32.25 Hectare or 0.80 Acres of land with all easementary and appurtenance right and mamool pathw...I am interested,PALANI,29 May 2025,"3,60,00,000.00","36,00,000.00",SARFAESI,--,193531,0,Immovable,Land,0
,194825,CFM Asset Reconstruction Private Limited,Flat No. G-1 On Ground Floor of House No. 126/1/22 Govind Nagar Kanpur Nagar Built Over Plot No 48 Block I Scheme No. 1 Govind Nagar Kanpur Nagar Having Its Covered Area 103.92 Sq. Mts. Alongwith Undi...I am interested,Kanpur,29 May 2025,"58,16,668.00","5,81,667.00",SARFAESI,--,193918,0,Immovable,Flat,0
,195730,PNB Housing Finance Limited,"Shop No-24, First Floor, Centre Plaza, Inside Kotegate, Near Subji Mandi, Bikaner, Rajasthan, India- 334002 Measuring 177.44 Sqft Having Covered Measuring 177.44 Sqft. East:- Stairs, West: Shop No- 23...I am interested",Bikaner,29 May 2025,"10,80,000.00","1,08,000.00",SARFAESI,--,194820,0,Immovable,Shop,0
,195731,PNB Housing Finance Limited,"Unit No.1005,10th Floor, Tower C-4, Avalon Homes, Bhiwadi, Alwar, Rajasthan-301019, India. Admeasuring| 460 Sq. Ft.I am interested",Alwar,29 May 2025,"4,38,000.00","43,800.00",SARFAESI,--,194821,0,Immovable,Flat,0
,195732,PNB Housing Finance Limited,"Eastern Portion of House No.25, Khasra No.161/1,| Manglam Homes, Gram Pal, Jodhpur, Rajasthan, India, 342001I am interested",Jodhpur,29 May 2025,"19,69,000.00","1,96,900.00",SARFAESI,--,194822,0,Immovable,Flat,0
,195733,PNB Housing Finance Limited,"All That Residential Flat Vide Flat No 02, On The First Floor, Ad- Measuring 1240 Sq. Ft Super Build Up Area, In The Building Known As Gokul Tower, Road No 15, Jawahar Nagar, Mango, Town Jamshedpur, D...I am interested",Jamshedpur,29 May 2025,"25,80,000.00","2,58,000.00",SARFAESI,--,194823,0,Immovable,Residential Flat,0
,196569,PNB Housing Finance Limited,"Area Including Plinth/Buildup Area In Case Of House Property 1522 Sq.yds, Located At Sub District Etc., Guntur District, Narasaraopet Registration District, Sattenapalli Sub-District, Sattenapalli Mun...I am interested",Palnadu,29 May 2025,"19,30,000.00","1,93,000.00",SARFAESI,--,195655,0,Immovable,Land,0
,196570,PNB Housing Finance Limited,"Sy No. 1654/2P Thrissur Village, Thrissur Taluk, Thrissur, Thrissur, Kerala, 680002, IndiaI am interested",THRISSUR,29 May 2025,"95,02,000.00","9,50,200.00",SARFAESI,--,195656,0,Immovable,Land,0
,196571,PNB Housing Finance Limited,"Resy No 363/6, Mayyanadu Village, Kollam Taluk, Kollam, Kollam, Kerala, India, 691303I am interested",Kollam,29 May 2025,"38,85,000.00","3,88,500.00",SARFAESI,--,195657,0,Immovable,Land,0
,196572,PNB Housing Finance Limited,"Northern Portion, Site No 25/10, Sy No 25/10, Thippsandra Village, Uttrahalli Hobli, Bangalore South, Bengaluru, Karnataka, India, 560061I am interested",Bangalore,29 May 2025,"69,41,000.00","6,94,100.00",SARFAESI,--,195658,0,Immovable,Land,0
,196573,PNB Housing Finance Limited,"Sy Nos 98/20B2 And,98 21A2, D No 5 11/1, Maimoona Manzil, Ullala Village, Ullall Darga Road Thokkottu, Mangalore, Mangalore, Karnataka 575020, Dakshina Kannada, India.I am interested",Mangalore,29 May 2025,"2,72,09,000.00","27,20,900.00",SARFAESI,--,195659,0,Immovable,Land,0
,196575,PNB Housing Finance Limited,"Non-Agricultural immovable property situated in Kudupu Village of Mangaluru Taluk, within Mangaluru City Corporation limits and within the registration Sub-District of Mangaluru Taluk, D.K.District an...I am interested",Mangalore,29 May 2025,"10,86,000.00","1,08,600.00",SARFAESI,--,195661,0,Immovable,NON AGRICULTURAL,0
,196584,PNB Housing Finance Limited,"S No 40/2a1a 41/1a1a. Plot No 356, Door No 9/155 Pokuvarathu Nagar, Kalingampatti Village. Dindigul, Tamil Nadu, India, 624004I am interested",DINDIGUL,29 May 2025,"16,57,000.00","1,65,700.00",SARFAESI,--,195670,0,Immovable,Plot,0
,196650,PNB Housing Finance Limited,"Plot No 25 26 27. Parekh Estate, Flat No 201, 2nd Floor Bhoomi Palace, Opp Sai Vatika Palace Nr Sahyog Hotel Nr Parekh Industrial Estate, At Tantithaiya, Ta Palsana, Surat, Gujarat-394305 IndiaI am interested",Surat,29 May 2025,"6,90,000.00","69,000.00",SARFAESI,--,195736,0,Immovable,Plot,0
,196652,PNB Housing Finance Limited,". Flat No 206, 2nd Floor, Shree Ambe Villa, Rainagar Nr Gulmahor Plaza, Nr Lokmanya Tilaktownship, Off Sadhuvašvani Kunj Road, Rajkot, Gujarat-360001.I am interested",Rajkot,29 May 2025,"8,90,000.00","89,000.00",SARFAESI,--,195737,0,Immovable,Flat,0
,196654,PNB Housing Finance Limited,"Lot No 1 - Flat No A 501, fifth Floor, wing A erande Park.sr No 56/2/1 & 56/3/32 vadgaon Sheri, pune, maharashtra-411014I am interested",Pune,29 May 2025,"70,07,000.00","7,00,700.00",SARFAESI,--,195740,0,Immovable,Flat,0
,196655,PNB Housing Finance Limited,"Lot No 2 - Flat No A 504, fifth Floor, wing A erande Park.sr No 56/2/1 & 56/3/32 vadgaon Sheri, pune, maharashtra-411014I am interested",Pune,29 May 2025,"70,07,000.00","7,00,700.00",SARFAESI,--,195741,0,Immovable,Flat,0
,196656,PNB Housing Finance Limited,"Wing-A.1St Floor, Flat No 116 Shree Siddhivinayak Park Gat No.31/2(P) & 49 (P) Wadaki Gaon Pune- 412308I am interested",Pune,29 May 2025,"9,41,000.00","94,100.00",SARFAESI,--,195742,0,Immovable,Flat,0
,196657,PNB Housing Finance Limited,"Wing C 3Rd Floor Flat No. 317 Happy City- Varale, Survey No 47P 48P Opposite Hindustan Petroleum, Varale Phata Village Varale Tal Maval,Pune, Maharashtra-410507,IndiaI am interested",Pune,29 May 2025,"17,40,000.00","1,74,000.00",SARFAESI,--,195743,0,Immovable,Land,0
,196658,PNB Housing Finance Limited,Wing B Ground Floor Flat No. 7 Shree Siddhivinayak Park Gat No. 31/2(P) & 49 (P) Wadaki Gaon Pune-412308 Pune Maharashtra-412308I am interested,Pune,29 May 2025,"8,86,000.00","88,600.00",SARFAESI,--,195744,0,Immovable,Flat,0
,196660,PNB Housing Finance Limited,"Building C2, Sodh Floor, C2-606, Mantra Residency, G.no.01, Opp. Volksvagon Plant Chakan, Midc Phase III, Nighoje, Pune,
Maharashtra-410501I am interested",Pune,29 May 2025,"16,27,000.00","1,62,700.00",SARFAESI,--,195746,0,Immovable,Floor,0
,196661,PNB Housing Finance Limited,Flat No 642 6th Floor Bulding No H Tropica H Building Co-Operative Housing Society Ltd S No 561 A 572 58/1a + 57/1b And 57/2 Ravet Tal Haveli Pune Maharashtra-412101.I am interested,Pune,29 May 2025,"60,75,000.00","6,07,500.00",SARFAESI,--,195747,0,Immovable,Flat,0
,196662,PNB Housing Finance Limited,"Shop No 1 2 3 7 8 9, Shop No 13 14 And 17,1st Floor A Wing Rolex Shopping Center Rolex Shopping Center Premises CHS Ltd Station Road Goregaon West Mumbai Maharashtra - 400104 Mumbai India.I am interested",Mumbai,29 May 2025,"1,74,96,000.00","17,49,600.00",SARFAESI,--,195748,0,Immovable,Shop,0
