,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,197961,Equitas Small Finance Bank,"Property No.1

Residential Property owned by Mrs. Mrs. Thilagavathi,All that pie...I am interested",Puducherry,26 Jun 2025,"76,00,000.00","7,60,000.00",SARFAESI,--,197044,1,Immovable,Residential,0
,197963,Equitas Small Finance Bank,"Property - II:

Commercial Property owned by Mrs. Mrs. Thilagavathi.LAND ONLY - ...I am interested",Puducherry,26 Jun 2025,"1,50,00,000.00","15,00,000.00",SARFAESI,--,197045,1,Immovable,Commerical,0
,197950,IndusInd Bank,"All that piece and parcel of Residential Flat No 7B 
admeasuring 704.46 Sq Ft i....I am interested",Pune,26 Jun 2025,"32,85,000.00","3,28,500.00",SARFAESI,--,197032,0,Immovable,Flat,0
,195689,Kotak Mahindra Bank,"Total land mortgaged 51K-1M
a. Land measuring 3K-18M share 250/3639 out of total...I am interested",Faridkot,26 Jun 2025,"52,64,000.00","5,30,000.00",DRT,Chandigarh - DRT - III,194780,0,Immovable,Land,0
,198307,The Kangra Central Co-Operative Bank Ltd,"All the part and parcel of land measuring 1217-63 
Hectare (Sq. Mtrs) being 60/1...I am interested",Kullu,26 Jun 2025,"12,40,70,000.00","1,24,07,000.00",SARFAESI,--,197386,0,Immovable,Land,0
,196853,IndusInd Bank,Exclusive Mortgage on land of 14.60 acres (1.96 acres is owned by Trust and 12.6...I am interested,ERODE,26 Jun 2025,"56,25,00,000.00","5,62,50,000.00",SARFAESI,--,195937,0,Immovable,Land,0
,198185,State Bank of India,"s.no 1

all the part and parcel of immovable property Flat No.SF-1 (301) Muncipa...I am interested",Dharwad,26 Jun 2025,"43,11,000.00","4,31,100.00",SARFAESI,--,197264,0,Immovable,Flat,0
,196437,TruHome Finance Limited,"All that pieces and parcel of immovable property being Flat No.Q/404, on 4th Flo...I am interested",Ahmedabad,26 Jun 2025,"17,00,000.00","1,70,000.00",SARFAESI,--,195521,0,Immovable,Flat,0
,198533,TruHome Finance Limited,"All that piece and parcel of Freehold Immovable Property being Flat No.F/504, 5t...I am interested",Ahmedabad,26 Jun 2025,"15,00,000.00","1,50,000.00",SARFAESI,--,197611,0,Immovable,Flat,0
,196263,Authum Investment & Infrastructure Ltd,"All that piece and parcel of land PLOT NO.7 KH.NO.108, P.H.NO.44, CTS NO.559, TH...I am interested",Nagpur,26 Jun 2025,"70,00,000.00","7,00,000.00",SARFAESI,--,195353,0,Immovable,Residential,0
