Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||Regional Manager Chandrapur||Divisional Manager Bramhapuri,2025_MH_30021,,,14-Jun-2025 05:00 PM,17-Jun-2025 11:35 AM,17-Jun-2025 11:35 AM,Timber
Govt of West Bengal||Zilla Parishad West Bengal||Murshidabad||NOWDA PANCHAYAT SAMITY,2025_WB_4757,"2,30,000","23,00,000",05-Jun-2025 06:55 PM,17-Jun-2025 12:00 PM,19-Jun-2025 10:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Nagpur",2025_MH_29837,,,15-Jun-2025 09:00 AM,17-Jun-2025 12:50 PM,17-Jun-2025 12:50 PM,Firewood
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Municipal Council Georai,2025_MH_29892,"20,000","20,00,000",10-Jun-2025 10:00 AM,17-Jun-2025 02:00 PM,23-Jun-2025 11:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Nagpur",2025_MH_29838,,,15-Jun-2025 09:00 AM,17-Jun-2025 02:35 PM,17-Jun-2025 02:35 PM,Timber
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Tamluk Panchayat Samity,2025_WB_4765,"43,827","4,38,269",11-Jun-2025 10:00 AM,17-Jun-2025 03:00 PM,23-Jun-2025 12:00 PM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Patashpur II Panchayat Samity,2025_WB_4758,"15,000","7,50,000",05-Jun-2025 06:30 PM,17-Jun-2025 04:00 PM,19-Jun-2025 01:30 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Patashpur II Panchayat Samity,2025_WB_4756,"4,000","2,00,000",05-Jun-2025 06:00 PM,17-Jun-2025 04:00 PM,19-Jun-2025 12:00 PM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Sangli District- DMA||Municipal Council Ashta,2025_MH_29937,"4,50,000","4,50,000",11-Jun-2025 02:00 PM,17-Jun-2025 04:00 PM,18-Jun-2025 11:00 AM,Miscellaneous
Govt of Jammu and Kashmir||Social Forestry Department  Jammu Region - Jammu and Kashmir||DFO Social Forestry Division Jammu,2025_JK_42,"20,000",,29-May-2025 02:30 PM,17-Jun-2025 04:30 PM,19-Jun-2025 11:30 AM,Timber
Govt of Haryana||Prison Department Haryana||Central Prison-1 Hisar,2025_HR_999,"50,000",15,13-Jun-2025 05:00 PM,17-Jun-2025 05:00 PM,20-Jun-2025 09:00 AM,Others
Govt of West Bengal||Murshidabad Zilla Parishad-West Bengal,2025_WB_4763,"48,489","4,84,886",06-Jun-2025 05:00 PM,17-Jun-2025 05:00 PM,20-Jun-2025 05:00 PM,Others
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Bareilly,2025_MoD_3986,,"13,10,000",28-May-2025 05:00 PM,17-Jun-2025 06:00 PM,20-Jun-2025 11:00 AM,Miscellaneous
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Kanpur,2025_MoD_4026,630,"31,240",11-Jun-2025 03:45 PM,17-Jun-2025 06:00 PM,19-Jun-2025 10:00 AM,Timber
Govt of West Bengal||Zilla Parishad West Bengal||Bankura||Sonamukhi Panchayat Samity,2025_WB_4718,"2,50,000","5,00,000",30-May-2025 06:00 PM,17-Jun-2025 06:00 PM,23-Jun-2025 09:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Gadchiroli",2025_MH_29604,,,16-Jun-2025 05:50 PM,18-Jun-2025 09:00 AM,18-Jun-2025 09:00 AM,Timber
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Gadchiroli",2025_MH_29605,,,16-Jun-2025 05:55 PM,18-Jun-2025 09:00 AM,18-Jun-2025 09:00 AM,Firewood
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||Regional Manager Chandrapur||Divisional Manager Pranhita,2025_MH_30060,,,16-Jun-2025 09:30 AM,18-Jun-2025 09:30 AM,18-Jun-2025 09:30 AM,Firewood
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||Regional Manager Chandrapur||Divisional Manager Ballarshah,2025_MH_30043,,,16-Jun-2025 11:05 AM,18-Jun-2025 10:30 AM,18-Jun-2025 10:30 AM,Bamboo
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Bijnor,2025_UP_1423,"1,00,000","2,81,600",13-Mar-2025 12:00 PM,18-Jun-2025 11:00 AM,19-Jun-2025 05:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Bijnor,2025_UP_1424,"1,00,000","2,43,925",13-Mar-2025 12:00 PM,18-Jun-2025 11:00 AM,19-Jun-2025 05:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Bijnor,2025_UP_1432,"1,00,000","4,03,700",13-Mar-2025 12:00 PM,18-Jun-2025 11:00 AM,19-Jun-2025 05:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Bijnor,2025_UP_1426,"1,00,000","3,87,200",13-Mar-2025 12:00 PM,18-Jun-2025 11:00 AM,19-Jun-2025 05:00 PM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Nagpur",2025_MH_29840,,,16-Jun-2025 09:00 AM,18-Jun-2025 11:50 AM,18-Jun-2025 11:50 AM,Firewood
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||Regional Manager Chandrapur||Divisional Manager Ballarshah,2025_MH_30048,,,16-Jun-2025 02:30 PM,18-Jun-2025 02:30 PM,18-Jun-2025 02:30 PM,Firewood
Govt of West Bengal||Zilla Parishad West Bengal||North 24 Parganas,2025_WB_4715,"3,72,810","9,32,024",29-May-2025 10:00 AM,18-Jun-2025 03:00 PM,30-Jun-2025 10:00 AM,Others
