,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,196714,Kotak Mahindra Bank,"Item No 1: 

All the piece and parcel of the Property bearing 
residential Flat...I am interested",Hubli,12 Jun 2025,"19,15,200.00","1,91,520.00",SARFAESI,--,195801,0,Immovable,Flat,0
,196717,Kotak Mahindra Bank,"Item No 2:
 
All the piece and parcel of the Property bearing 
residential Flat ...I am interested",Hubli,12 Jun 2025,"30,06,000.00","3,00,600.00",SARFAESI,--,195802,0,Immovable,Residential Flat,0
,195697,HDFC Bank,"All the Piece or Parcel of Property bearing at City Survey Block G, City Survey ...I am interested",Veraval,12 Jun 2025,"65,00,000.00","6,50,000.00",SARFAESI,--,194787,0,Immovable,Plot,0
,196234,HDFC Bank,"Flat no. C-404 at 4th Floor of Heart Villa situated Nr. Vishwas 5, B/h Studio Co...I am interested",Ahmedabad,12 Jun 2025,"60,00,000.00","6,00,000.00",SARFAESI,--,195323,0,Immovable,Flat,0
,196722,HDFC Bank,"s.no 1

All that piece & parcel of Residential house property & construction the...I am interested",Satara,12 Jun 2025,"1,47,00,000.00","14,70,000.00",SARFAESI,--,195810,0,Immovable,Residential House,0
,196725,HDFC Bank,"s.no 2

All that piece and parcel of land & Building admeasuring about 243 SQM o...I am interested",Kohlapur,12 Jun 2025,"60,00,000.00","6,00,000.00",SARFAESI,--,195811,0,Immovable,Land And Building,0
,196733,HDFC Bank,"S.NO 3 


All that piece & parcel of land & building constructed on
Residential ...I am interested",Ichalkaranji,12 Jun 2025,"90,00,000.00","9,00,000.00",SARFAESI,--,195824,0,Immovable,Land And Building,0
,196743,HDFC Bank,"s.no 4

All that piece and parcel of Flat No.11, situated at second floor admeas...I am interested",Aurangabad,12 Jun 2025,"2,11,00,000.00","21,10,000.00",SARFAESI,--,195831,0,Immovable,Flat,0
,196748,HDFC Bank,"s.no 5

All that piece and parcel of Flat No.11, situated at second floor admeas...I am interested",Pune,12 Jun 2025,"35,28,000.00","3,53,000.00",SARFAESI,--,195834,0,Immovable,Flat,0
,194658,Repco Home Finance Ltd,All the piece and parcel of land together with building situated at Perambalur ...I am interested,Perambalur,12 Jun 2025,"17,44,000.00","1,74,400.00",SARFAESI,--,193751,0,Immovable,Land And Building,0
