,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,198220,Axis Bank,"EQUITABLE MORTGAGE OF ALL THAT PIECES AND PARCEL OF 
RESIDENTIAL IMMOVABLE PROPE...I am interested",Bhopal,28 Jun 2025,"8,09,600.00","80,960.00",SARFAESI,--,197298,0,Immovable,Residential,0
,198043,CFM Asset Reconstruction Private Limited,"Property No. 1:

All that piece and parcels of Office No 112, 
area admeasuring ...I am interested",Pune,28 Jun 2025,"70,00,000.00","7,00,000.00",SARFAESI,--,197127,0,Immovable,Floor,0
,198046,CFM Asset Reconstruction Private Limited,"Property No. 2:

Flat No. 201* (Joint) admsg each 1278 sq ft 
i.e., 118.77 sq me...I am interested",Pune,28 Jun 2025,"68,50,000.00","6,85,000.00",SARFAESI,--,197128,0,Immovable,Flat,0
,198049,CFM Asset Reconstruction Private Limited,"Property No. 3:

Flat No. 204* (Joint), admsg each 1278 sq ft 
i.e., 118.77 sq m...I am interested",Pune,28 Jun 2025,"68,50,000.00","6,85,000.00",SARFAESI,--,197131,0,Immovable,Flat,0
,199087,TruHome Finance Limited,"All part and parcel of the property situated at Palayamkottai RD, Playamkottai J...I am interested",Tirunelveli,28 Jun 2025,"13,00,000.00","1,30,000.00",SARFAESI,--,198165,0,Immovable,Land,0
,199101,TruHome Finance Limited,ALL THAT piece and parcel of land admeasuring 11 Sataks along with structure sta...I am interested,24 Pargana,28 Jun 2025,"80,00,000.00","8,00,000.00",SARFAESI,--,198179,0,Immovable,Land,0
,198276,PNB Housing Finance Limited,"All That Property Bearing Arazi No 1061 Chandan Nagar, Sangwan Road, Ahirwan. Ka...I am interested",Kanpur,28 Jun 2025,"18,50,000.00","1,85,000.00",SARFAESI,--,197353,0,Immovable,Land,0
,198278,PNB Housing Finance Limited,All That One Apartment Being Apartment No. 504 Having A Built Up Area Of 604 Squ...I am interested,24 Pargana,28 Jun 2025,"17,98,000.00","1,79,800.00",SARFAESI,--,197355,0,Immovable,Residential,0
,198279,PNB Housing Finance Limited,"All That Self Contained Residential Flat, Identified By Modified Flat No. S-5, L...I am interested",24 Pargana,28 Jun 2025,"22,59,000.00","2,25,900.00",SARFAESI,--,197356,0,Immovable,Residential Flat,0
,198280,PNB Housing Finance Limited,All That One Self-contained Residential Flat Being Flat No. C3 On Southwest Side...I am interested,Kolkata,28 Jun 2025,"10,80,000.00","1,08,000.00",SARFAESI,--,197358,0,Immovable,Flat,0
