,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,196020,Kotak Mahindra Bank,"All that piece or parcel of one residential ownership self-contained
south east ...I am interested",Kolkata,17 Jun 2025,"81,00,000.00","8,10,000.00",SARFAESI,--,195109,0,Immovable,Flat,0
,196039,Kotak Mahindra Bank,"All that piece or parcel of one residential ownership self-contained 
south east...I am interested",24 Pargana,17 Jun 2025,"81,00,000.00","8,10,000.00",SARFAESI,--,195128,0,Immovable,Residential,0
,195652,Encore Asset Reconstruction Company Private Limited,"All that piece and parcel of the 
land and building and thereon 
commercial spac...I am interested",Bangalore,17 Jun 2025,"2,18,50,000.00","21,85,000.00",SARFAESI,--,194742,0,Immovable,Land And Building,
,195653,Encore Asset Reconstruction Company Private Limited,"All that piece and parcel of 
the property bearing flat No. 
405, situated at 3r...I am interested",Bangalore,17 Jun 2025,"1,00,00,000.00","10,00,000.00",SARFAESI,--,194743,0,Immovable,Flat,0
,196638,Equitas Small Finance Bank,"Property NO 1
All That Pieces And Parcels Of Immovable Property Bearing Plot No....I am interested",Bharuch,17 Jun 2025,"18,50,000.00","1,85,000.00",SARFAESI,--,195725,0,Immovable,Plot,0
,196641,Equitas Small Finance Bank,"Property NO 2

All That Pieces And Parcels Of Immovable Property Bearing Plot No...I am interested",Bharuch,17 Jun 2025,"18,50,000.00","1,85,000.00",SARFAESI,--,195727,0,Immovable,Plot,0
,196643,Equitas Small Finance Bank,"Property No: 1
All That Pieces And Parcels Of The Property Bearing Flat No. 104,...I am interested",Junagadh,17 Jun 2025,"8,82,000.00","88,200.00",SARFAESI,--,195730,0,Immovable,Flat,
,196646,Equitas Small Finance Bank,"Property No: 2

All That Pieces And Parcels Of The Property Bearing Revenue Surv...I am interested",Junagadh,17 Jun 2025,"11,61,000.00","1,16,100.00",SARFAESI,--,195732,0,Immovable,Flat,
,197174,HDB Financial Services Limited,"All that piece and parcel of Land situated at door No. 201/1/24, 3rd lane, Tagor...I am interested",Chennai,17 Jun 2025,"51,30,000.00","5,13,000.00",SARFAESI,--,196257,0,Immovable,Land,0
,195931,HDFC Bank,"PROPERTY BELONGING TO MR. PRADEEP GORDHANDAS VORA
ALL THAT piece or parcel of u...I am interested",Pune,17 Jun 2025,"1,20,00,00,000.00","5,00,00,000.00",SARFAESI,--,195020,0,Immovable,Land,0
