,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,197933,HDFC Bank,"Lot No.1. All that piece & Parcel of 
Commercial Property/Shop no 
15, & 16, on ...I am interested",Pune,29 Jun 2025,"2,05,00,000.00","20,50,000.00",SARFAESI,--,197015,0,Immovable,Commerical,0
,197934,HDFC Bank,"Lot No.2. All that piece & parcel of 
Commercial Property/Shop no 
5 , admeasuri...I am interested",Pune,29 Jun 2025,"1,59,00,000.00","15,90,000.00",SARFAESI,--,197016,0,Immovable,Commerical,0
,197935,HDFC Bank,"Lot No.3.  All that piece & parcel of 
Commercial Property/Shop no 
6 ,admeasuri...I am interested",Pune,29 Jun 2025,"1,59,00,000.00","15,90,000.00",SARFAESI,--,197017,0,Immovable,Commerical,0
,197937,HDFC Bank,"All that piece and parcel of 
Residential Flat No 1102, 
admeasuring area about ...I am interested",Pune,29 Jun 2025,"85,00,000.00","8,50,000.00",SARFAESI,--,197018,0,Immovable,Residential Flat,0
,197939,HDFC Bank,"Flat no- 6, admeasuring 618 Sq.ft., 2nd floor in buiding known as Sankalpa Vihar...I am interested",Pune,29 Jun 2025,"23,48,000.00","2,34,800.00",SARFAESI,--,197021,0,Immovable,Flat,0
,197942,HDFC Bank,"Shop No-5 admeasuring 254 Sq ft. Ground Floor, in building No C, in the scheme k...I am interested",Pune,29 Jun 2025,"65,00,000.00","6,50,000.00",SARFAESI,--,197023,0,Immovable,Shop,0
,197943,HDFC Bank,"Lot No.1  - All that piece and parcel of commercial shop No 347,3rd floor, D-1, ...I am interested",Pune,29 Jun 2025,"57,75,000.00","5,77,500.00",SARFAESI,--,197025,0,Immovable,Commerical,0
,197945,HDFC Bank,"Lot No.2  - All that piece and parcel of commercial shop No 148,1st floor,D-1, h...I am interested",Pune,29 Jun 2025,"58,20,000.00","5,82,000.00",SARFAESI,--,197027,0,Immovable,Commerical,0
,198463,PNB Housing Finance Limited,"BLOCK NO 105,SHUBHAM PALACE NR GAYATRI SCHOOL AND SURBHI PAN,ZANZARDA ROAD,Junag...I am interested",Junagadh,29 Jun 2025,"10,17,000.00","1,01,700.00",SARFAESI,--,197541,0,Immovable,Land,0
,198464,PNB Housing Finance Limited,"SHIVILI BLOCK,0 FLAT NO.505, King Park City Gram – Pipaliya Gajju Mandideep, Te...I am interested",Bhopal,29 Jun 2025,"7,21,000.00","72,100.00",SARFAESI,--,197542,0,Immovable,Flat,0
