Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Sonbhadra,2025_UP_1533,"1,00,00,000","14,94,68,896",09-May-2025 04:30 PM,05-Jun-2025 11:00 AM,06-Jun-2025 12:00 PM,Miscellaneous
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||CEO Jalandhar,2025_MoD_3971,"2,00,000","1,03,000",17-May-2025 11:00 AM,05-Jun-2025 11:00 AM,10-Jun-2025 11:00 AM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Bardhaman,2025_WB_4664,"1,00,000","50,00,000",21-May-2025 10:00 AM,05-Jun-2025 11:00 AM,17-Jun-2025 11:00 AM,Others
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Bhandara,2025_MH_29613,,,03-Jun-2025 02:00 PM,05-Jun-2025 12:30 PM,05-Jun-2025 12:30 PM,Timber
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Roorkee,2025_MoD_3981,"15,00,000",,26-May-2025 11:00 AM,05-Jun-2025 01:00 PM,09-Jun-2025 10:00 AM,Others
Govt of West Bengal||Dakshin Dinajpur Zilla Parishad West Bengal,2025_WB_4689,"51,550","25,77,094",20-May-2025 04:00 PM,05-Jun-2025 01:50 PM,10-Jun-2025 11:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||CEO Cannanore,2025_MoD_3988,"25,000","16,575",28-May-2025 04:00 PM,05-Jun-2025 02:00 PM,06-Jun-2025 11:00 AM,Land/Building
Govt of Tamil Nadu||TNEB Ltd.||TANGEDCO||CE-MTPS-II||SE-Purchase and Administration-MTPS-II,2025_TN_78,,,22-May-2025 02:00 PM,05-Jun-2025 02:30 PM,11-Jun-2025 11:00 AM,Scrap/Disposables
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4712,"20,000","1,50,000",28-May-2025 10:00 AM,05-Jun-2025 03:00 PM,12-Jun-2025 02:30 PM,Miscellaneous
Govt of Maharashtra||PWD - GOVT OF MAHARASHTRA||Public Work Region Pune||Public Works Circle  Kolhapur||Public Works Division Kolhapur,2025_MH_29577,"1,40,000","27,00,000",23-May-2025 11:50 AM,05-Jun-2025 05:00 PM,10-Jun-2025 10:00 AM,Machineries
