Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Kinwat,2025_MH_29630,,,04-Jun-2025 02:00 PM,06-Jun-2025 11:50 AM,06-Jun-2025 11:50 AM,Firewood
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Kinwat,2025_MH_29632,,,04-Jun-2025 02:00 PM,06-Jun-2025 12:05 PM,06-Jun-2025 12:05 PM,Firewood
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||CEO Cannanore,2025_MoD_3989,"25,000","16,575",28-May-2025 04:00 PM,06-Jun-2025 02:00 PM,09-Jun-2025 11:00 AM,Land/Building
Govt of West Bengal||Zilla Parishad West Bengal||Paschim Bardhaman,2025_WB_4665,"6,00,000","60,00,000",19-May-2025 11:00 AM,06-Jun-2025 03:00 PM,12-Jun-2025 03:00 PM,Miscellaneous
Govt of Maharashtra||Co-operation Marketing and Textiles Dept Mumbai||Commissioner for Cooperation and Registrar of Cooperative Societies Pune||District Dy registrar Cooperative Society Mumbai||Bhandari Co-op. Bank,2025_MH_29579,,"2,53,36,500",24-May-2025 11:00 AM,06-Jun-2025 05:00 PM,11-Jun-2025 01:00 PM,Land/Building
Govt of Maharashtra||Co-operation Marketing and Textiles Dept Mumbai||Commissioner for Cooperation and Registrar of Cooperative Societies Pune||District Dy registrar Cooperative Society Mumbai||Bhandari Co-op. Bank,2025_MH_29578,,"39,23,66,000",24-May-2025 11:00 AM,06-Jun-2025 05:00 PM,11-Jun-2025 01:00 PM,Land/Building
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1575,"62,500","3,324",06-Jun-2025 10:00 AM,06-Jun-2025 05:00 PM,09-Jun-2025 10:00 AM,Miscellaneous
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1574,"66,550","3,268",06-Jun-2025 10:00 AM,06-Jun-2025 05:00 PM,09-Jun-2025 10:00 AM,Miscellaneous
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Chitrakoot,2025_UP_1554,"25,00,000","2,24,98,500",20-May-2025 10:00 AM,07-Jun-2025 05:00 PM,09-Jun-2025 10:00 AM,Shipping/ Transportation/ Vehicle
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3935,"30,000","2,96,115",05-May-2025 11:00 AM,08-Jun-2025 04:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3933,"1,25,000","12,49,358",05-May-2025 11:00 AM,08-Jun-2025 04:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3932,"1,90,000","19,50,377",05-May-2025 11:00 AM,08-Jun-2025 04:30 PM,10-Jun-2025 10:00 AM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Saharanpur,2025_UP_1573,"3,50,00,000","35,65,00,000",03-Jun-2025 06:30 PM,08-Jun-2025 05:00 PM,11-Jun-2025 12:00 PM,Miscellaneous
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3926,"10,800","1,07,469",05-May-2025 11:00 AM,08-Jun-2025 05:10 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3921,"2,500","32,891",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3920,"6,500","1,29,368",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3927,"12,000","1,13,727",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3937,"1,26,000","12,55,300",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3921,"2,500","32,891",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3937,"1,26,000","12,55,300",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3931,"8,000","77,268",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3930,"16,000","1,60,407",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3936,500,"13,86,735",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3922,"33,000","3,29,571",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3924,"18,000","1,75,428",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3919,"1,300","12,434",05-May-2025 10:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_3918,"2,500","25,303",05-May-2025 11:00 AM,08-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Sironcha",2025_MH_29594,,,05-Jun-2025 05:45 PM,09-Jun-2025 09:00 AM,09-Jun-2025 09:00 AM,Firewood
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||CEO Cannanore,2025_MoD_3990,"25,000","36,998",28-May-2025 04:00 PM,09-Jun-2025 02:00 PM,10-Jun-2025 11:00 AM,Land/Building
Govt of Uttar Pradesh||U.P. State Sugar Corporation Ltd,2025_UP_1570,20,,02-Jun-2025 06:00 PM,09-Jun-2025 02:00 PM,10-Jun-2025 11:00 AM,Miscellaneous
Govt of Uttar Pradesh||Rajya Krishi Utpadan Mandi Parishad UP||DDAM Meerut- RKUMP||Ghaziabad Mandi- RKUMP,2025_UP_1566,"5,00,000","5,00,000",30-May-2025 05:00 PM,09-Jun-2025 03:00 PM,12-Jun-2025 12:00 PM,Miscellaneous
Govt of Haryana||Revenue and Disaster Management Haryana||Deputy Commisisoner Office Bhiwani||Nazar Branch O/o D.C Bhiwani,2025_HR_992,"3,80,000",,04-Jun-2025 03:00 PM,09-Jun-2025 04:00 PM,12-Jun-2025 11:00 AM,Scrap/Disposables
Govt of Kerala||Water Resources Department||Irrigation Division Kottayam,2025_GOK_113,"7,83,450",,29-May-2025 05:00 PM,09-Jun-2025 05:00 PM,13-Jun-2025 09:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administartion Latur District - DMA||Municipal Council Udgir,2025_MH_29697,"50,000","10,30,000",02-Jun-2025 11:00 AM,09-Jun-2025 05:00 PM,16-Jun-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Directorate Groundwater Surveys and Development Agency Pune||Head Office Pune,2025_MH_29563,"9,500","2,24,000",28-May-2025 11:00 AM,09-Jun-2025 05:00 PM,17-Jun-2025 11:00 AM,Shipping/ Transportation/ Vehicle
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4736,600,"30,000",31-May-2025 10:00 AM,09-Jun-2025 05:00 PM,12-Jun-2025 11:00 AM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4736,600,"30,000",31-May-2025 10:00 AM,09-Jun-2025 05:00 PM,12-Jun-2025 11:00 AM,Miscellaneous
Govt of Kerala||Water Resources Department||Irrigation Division Kottayam,2025_GOK_113,"7,83,450",,29-May-2025 05:00 PM,09-Jun-2025 05:00 PM,13-Jun-2025 09:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Parbhani District- DMA||Municipal Council Manwat,2025_MH_29650,"50,000","5,00,000",30-May-2025 04:45 PM,09-Jun-2025 05:00 PM,11-Jun-2025 11:00 AM,Land/Building
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Jabalpur,2025_MoD_4001,"2,50,000","19,00,000",31-May-2025 10:00 AM,09-Jun-2025 05:00 PM,17-Jun-2025 10:00 AM,Land/Building
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||DEO- Agra,2025_MoD_3975,"90,000","9,00,000",20-May-2025 10:00 AM,09-Jun-2025 05:30 PM,13-Jun-2025 10:00 AM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Malda,2025_WB_4690,"1,43,700","71,86,136",20-May-2025 05:30 PM,09-Jun-2025 05:30 PM,12-Jun-2025 11:00 AM,Shipping/ Transportation/ Vehicle
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administartion Osmanabad District - DMA||Municipal Council Tuljapur,2025_MH_29607,"1,78,500","1,78,50,000",26-May-2025 10:00 AM,09-Jun-2025 05:45 PM,13-Jun-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Transport Commissioner Office- Maharashtra State||DY.RTO PIMPRI-CHINCHWAD,2025_MH_29610,"2,00,000",,02-Jun-2025 10:00 AM,09-Jun-2025 06:00 PM,12-Jun-2025 12:00 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Bankura||Sonamukhi Panchayat Samity,2025_WB_4718,"2,50,000","5,00,000",30-May-2025 06:00 PM,09-Jun-2025 06:00 PM,20-Jun-2025 09:00 AM,Others
Govt of Haryana||Haryana Tourism Corporation Limited,2025_HR_987,"4,00,000","90,00,000",23-May-2025 10:10 AM,10-Jun-2025 10:55 AM,13-Jun-2025 11:00 AM,Miscellaneous
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1577,"50,000","3,190",05-Jun-2025 06:55 PM,10-Jun-2025 01:00 PM,11-Jun-2025 10:00 AM,Miscellaneous
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1578,"62,500","3,140",05-Jun-2025 06:55 PM,10-Jun-2025 01:00 PM,11-Jun-2025 10:00 AM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||South 24 Parganas||Namkhana Panchayat Samity||Freserganj Gram Panchayat,2025_WB_4737,"25,000","1,70,000",31-May-2025 09:00 AM,10-Jun-2025 01:00 PM,13-Jun-2025 11:00 AM,Others
