,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,198829,Bank of Baroda,"Honda WR-V, Registration No.
RJ36 CA 9277
Engine No. N15A15200217
Chassis No. MA...I am interested",Beawar,25 Jun 2025,"3,12,000.00","31,200.00",SARFAESI,--,197908,0,Movable,Vehicle,0
,198830,Bank of Baroda,"Hyundi Venue Registration No.
RJ01 CE 6561
Engine No. G4LAMM883954
Chassis No. M...I am interested",Ajmer,25 Jun 2025,"3,02,000.00","30,200.00",SARFAESI,--,197909,0,Movable,Vehicle,0
,195882,Repco Home Finance Ltd,"S.NO 12

All that piece and parcel of land and building situated at Cuttack Dist...I am interested",Cuttack,25 Jun 2025,"44,06,000.00","4,40,600.00",SARFAESI,--,194971,0,Immovable,Land And Building,0
,197014,State Bank of India,"Flat No. B-803, On 7 th Floor, Tower B, having super built up area 1321.32 Sq.ft...I am interested",Jaipur,25 Jun 2025,"51,00,000.00","5,10,000.00",DRT,Jaipur DRT,196098,0,Immovable,Flat,0
,197953,Piramal Finance Ltd.,"All The piece and Parcel of the Property having an extent :-RS No 864/p 865/p, 8...I am interested",Surat,25 Jun 2025,"3,52,60,000.00","35,26,000.00",SARFAESI,--,197035,0,Immovable,Plot,0
,195953,HDFC Bank,"Commercial shop situated at Khasra no. No.33/2 (New), 33 (Old), Ward No.11, Asat...I am interested",Chhatarpur,25 Jun 2025,"30,00,000.00","3,00,000.00",SARFAESI,--,195041,0,Immovable,Commerical,0
,195955,HDFC Bank,"Residential property situated at House No.75, Double stories, constructed on Gro...I am interested",Ashok Nagar,25 Jun 2025,"25,00,000.00","2,50,000.00",SARFAESI,--,195044,0,Immovable,Residential,0
,196866,HDFC Bank,"Item No.2: Entire Fourth Floor With Roof Rights, Property No. 54, Block-c, Secto...I am interested",Delhi,25 Jun 2025,"74,00,000.00","7,40,000.00",SARFAESI,--,195950,0,Immovable,Residential,0
,196869,HDFC Bank,"Item No.3: Property No. 262, Residential Third Floor, Block-b, Dwarka, Near Vard...I am interested",Delhi,25 Jun 2025,"73,00,000.00","7,30,000.00",SARFAESI,--,195952,0,Immovable,Residential,0
,198498,DMI Housing Finance Pvt Ltd,"“HALKE ABADI KA AWASIYA 
MAKAAN NO. 284 (OLD NO. 274), 
WAKE ALIPURA (KRISHNAPUR...I am interested",Udaipur,25 Jun 2025,"32,00,000.00","3,20,000.00",SARFAESI,--,197576,0,Immovable,Land,0
