,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,194655,Encore Asset Reconstruction Company Private Limited,"Property 1: Property 
belongs to Mr. Saju 
George 
Item 1: 
All that piece and p...I am interested",Tirupur,03 Jun 2025,"5,20,50,000.00","52,05,000.00",SARFAESI,--,193748,0,Immovable,Land And Building,0
,196045,HDFC Bank,"1- Property No. PART OF THE PROEPRTY NO. 5/43 KHASRA No. 642 VILLAGE
CHANDRAWALI...I am interested",Delhi,03 Jun 2025,"1,67,00,000.00","16,70,000.00",SARFAESI,--,195134,0,Immovable,Plot,0
,196047,HDFC Bank,"2- Property No. FIRST FLOOR & SECOND FLOOR ,PORTION OF BUILT UP
PROPERTY NO.360-...I am interested",Delhi,03 Jun 2025,"95,00,000.00","9,50,000.00",SARFAESI,--,195135,0,Immovable,Floor,0
,195118,ASREC (India) Limited,"Registered Mortgage of Flat No.2, Ground Floor, Area 
admeasuring about 510.00 s...I am interested",Thane,03 Jun 2025,"15,00,000.00","2,00,000.00",SARFAESI,--,194210,0,Immovable,Flat,0
,196071,ASREC (India) Limited,"LOT  NO. 1 

All that Piece and Parcel of non-agricultural 
land bearing Plot No...I am interested",Thane,03 Jun 2025,"1,53,00,000.00","15,30,000.00",SARFAESI,--,195159,0,Immovable,Plot,0
,196074,ASREC (India) Limited,"LOT  NO. 2

All that piece and parcel of Industrial Plot of 
Land bearing Plot N...I am interested",Thane,03 Jun 2025,"1,08,00,000.00","10,80,000.00",SARFAESI,--,195161,0,Immovable,Plot,0
,196121,Kotak Mahindra Bank,"Industrial Property 
Located At ""Stefina 
Ceramic"", Nr. Rexona 
Ceramic, Matel R...I am interested",Morbi,03 Jun 2025,"4,50,00,000.00","45,00,000.00",SARFAESI,--,195210,0,Immovable,Industrial Property,0
,196127,Kotak Mahindra Bank,"All that piece and parcel of vacant land bearing
Plot no.35, 36, 37 and 38, each...I am interested",KANCHIPURAM,03 Jun 2025,"31,02,300.00","3,12,300.00",SARFAESI,--,195216,0,Immovable,Land,0
,195822,NKGSB CO-OP BANK LTD,"All that piece and parcel of Entire Land, Building along with Entire Structure S...I am interested",Mahabaleshwar,03 Jun 2025,"3,55,00,000.00","35,50,000.00",SARFAESI,--,194912,0,Immovable,Land And Building,
,196845,State Bank of India,"Vehicle & model

HYUNDAI VERNA 1.6
CRDI SX(O) SE (DIESEL)
K.M 1,15,203, MODEL:20...I am interested",RAJAHMUNDRY,03 Jun 2025,"4,60,000.00","46,000.00",SARFAESI,--,195931,0,Movable,Vehicle,0
