,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,197732,Axis Bank,"All that part and piece of property situated in Visakhapatnam District, Anakapal...I am interested",Visakhapatnam,16 Jun 2025,"23,83,128.00","2,38,313.00",SARFAESI,--,196816,0,Immovable,Land,0
,197009,Deutsche Bank,"All that piece and parcel of the 
property bearing 2nd floor 
admeasuring about ...I am interested",Surat,16 Jun 2025,"6,50,00,000.00","65,00,000.00",SARFAESI,--,196092,0,Immovable,Floor,0
,197580,HDFC Bank,"Property -A
Shop No. A211, D R 
World, AAI
Mata Road, 
Parvat Patia 
Dumbhal, 
S...I am interested",Surat,16 Jun 2025,"18,00,000.00","1,80,000.00",SARFAESI,--,196664,0,Immovable,Shop,0
,197581,HDFC Bank,"Property-B 
Residential 
Flat No. 303 
Third floor,
Ashish 
Apartment, 
Ravi Ash...I am interested",Surat,16 Jun 2025,"18,00,000.00","1,80,000.00",SARFAESI,--,196665,0,Immovable,Flat,0
,197996,Phoenix ARC Private Limited.,"Bungalow no. A/12, Rose Crown, Near Rose Crown 2, Chaloda, Taluka Dholka, Distri...I am interested",Ahmedabad,16 Jun 2025,"27,00,000.00","2,70,000.00",SARFAESI,--,197077,0,Immovable,Bunglow,0
,195621,Rajasthan Gramin Bank,All that part and parcel of the Equitable Mortgage of Residential cum Commercial...I am interested,Pali,16 Jun 2025,"24,30,900.00","2,43,090.00",SARFAESI,--,194714,0,Immovable,Commerical,0
,197600,Vishwakarma Sahakara Bank Ltd.,"Non-agricultural immovable property 
situated at Ira Village, Bantwaltaluk, with...I am interested",Bantwal,16 Jun 2025,"5,95,000.00","59,500.00",SARFAESI,--,196683,0,Immovable,Land,0
,197601,Vishwakarma Sahakara Bank Ltd.,"Property “A ""Non Agricultural immovable 
property held on warg right situated at...I am interested",Mangalore,16 Jun 2025,"48,50,000.00","4,85,000.00",SARFAESI,--,196684,0,Immovable,Land,
,197604,Vishwakarma Sahakara Bank Ltd.,"Property “B”: Non agricultural immovable 
property held on warg right situated a...I am interested",Mangalore,16 Jun 2025,"9,98,000.00","99,800.00",SARFAESI,--,196687,0,Immovable,Land,0
,196148,Axis Bank,SCHEDULE ABOVE REFERRED TO: SCHEDULE A:ALL THAT the entire 4th Floor of the said...I am interested,Kolkata,16 Jun 2025,"2,47,69,000.00","24,76,900.00",SARFAESI,--,195236,0,Immovable,Floor,0
