Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30054,"25,000","3,25,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30057,"25,000","3,25,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30055,"25,000","3,25,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30053,"25,000","3,25,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30062,"25,000","4,00,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30050,"25,000","4,00,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30063,"25,000","4,00,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30049,"25,000","4,00,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30056,"25,000","3,25,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Nagpur District-DMA||Municipal Council Desaiganj,2025_MH_30056,"25,000","3,25,000",17-Jun-2025 11:00 AM,22-Jun-2025 05:00 PM,25-Jun-2025 10:00 AM,Miscellaneous
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Chandrapur||Office of the DCF Bramhapuri",2025_MH_30044,,,20-Jun-2025 09:00 AM,23-Jun-2025 09:30 AM,23-Jun-2025 09:30 AM,Timber
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Gondia",2025_MH_30025,,,21-Jun-2025 09:00 AM,23-Jun-2025 09:30 AM,23-Jun-2025 09:30 AM,Timber
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Yawatmal||Office of the DCF Washim",2025_MH_30140,,,21-Jun-2025 09:30 AM,23-Jun-2025 09:30 AM,23-Jun-2025 09:30 AM,Timber
