Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date
64939,Land for Sale,"Masuda, Ajmer, Rajasthan",Au small finance bank,"₹5,50,000",19/08/2025
64649,"Land in Saliya, PanchMahal","Panchmahal, Gujarat",Au small finance bank,"₹4,00,000",19/08/2025
65162,"Flat in Nikol, Ahmedabad","Ahmedabad, Gujarat",Bank Of Baroda,"₹40,30,850",17/08/2025
7552,"Commercial Property in Villanenthal Village, Pudukottai","Pudukottai, Tamil Nadu",City Union Bank,"₹95,00,000",16/08/2025
64770,Land for Sale,"RAJGARH, Churu, Rajasthan",Au small finance bank,"₹10,50,000",12/08/2025
64679,"Flat in Nandej, Ahmedabad","Ahmedabad, Gujarat",Au small finance bank,"₹9,50,000",12/08/2025
64765,Land for Sale,"Tibbi, Hanumangarh, Rajasthan",Au small finance bank,"₹16,00,000",12/08/2025
64767,Land for Sale,"Bandikui, Dausa, Rajasthan",Au small finance bank,"₹51,65,000",12/08/2025
64769,Land for Sale,"Udaipurwati, Jhunjhunu, Rajasthan",Au small finance bank,"₹5,65,000",12/08/2025
64780,Land for Sale,"SIKRAI, Dausa, Rajasthan",Au small finance bank,"₹34,00,000",12/08/2025
64794,Land for Sale,"Ramganjmandi, Kota, Rajasthan",Au small finance bank,"₹12,80,000",12/08/2025
64789,Land for Sale,"Bhinder, Udaipur, Rajasthan",Au small finance bank,"₹8,00,000",12/08/2025
64934,Plot for Sale,"THIMAU BARI, Churu, Rajasthan",Au small finance bank,"₹10,50,000",12/08/2025
64930,Plot for Sale,"Bhinder, Udaipur, Rajasthan",Au small finance bank,"₹8,00,000",12/08/2025
64927,Plot for Sale,"Bandikui, Dausa, Rajasthan",Au small finance bank,"₹51,65,000",12/08/2025
64937,Plot for Sale,"Gangadhar, Jhalawar, Rajasthan",Au small finance bank,"₹13,50,000",12/08/2025
64923,Plot for Sale,"Udpura, Kota, Rajasthan",Au small finance bank,"₹12,80,000",12/08/2025
64922,Plot for Sale,"DARJIYO KE GALI, Dausa, Rajasthan",Au small finance bank,"₹34,00,000",12/08/2025
64990,"Land and Building in Rangopanditha Agraharam Village, Krishnagiri","Krishnagiri, Tamil Nadu",Repco Home Finance,"₹31,06,000",11/08/2025
63343,Residential Flat in South 24 Paraganas,"South 24 Parganas, West Bengal",Punjab National Bank,"₹24,51,000",11/08/2025
4168,"Land & Building in Dharapuram, Tirupur","Tiruppur, Tamil Nadu",Repco Home Finance,"₹24,09,000",11/08/2025
65764,"Land and Building in Puliyur Village, Chennai","Chennai, Tamil Nadu",Cholamandalam Investment and Finance Company,"₹1,10,00,000",10/08/2025
59508,"Flat in Undri, Pune","Pune, Maharashtra",Axis Bank,"₹21,01,059",09/08/2025
59509,"Flat in Undri, Pune","Pune, Maharashtra",Axis Bank,"₹21,01,059",09/08/2025
65018,Flat in Uttarahalli,"Uttarahalli, Bangalore Urba, Karnataka",Bank of India,"₹61,32,000",07/08/2025
6780,"Land and building in Ekkattuthangal, Chennai","Chennai, Tamil Nadu",Repco Home Finance,"₹84,19,000",07/08/2025
64627,Plot in Bidarahalli,"Bidarahalli, Bangalore Urba, Karnataka",Repco Home Finance,"₹38,57,000",07/08/2025
27802,"Land in Cholanmaligai, Thanjavur","Thanjavur, Tamil Nadu",IDBI Bank,"₹14,72,000",06/08/2025
65299,Commercial Property in Hooghly,"Hooghly, West Bengal",Indian Bank,"₹5,50,00,000",06/08/2025
64726,Plot for Sale,"Tibbi, Hanumangarh, Rajasthan",Au small finance bank,"₹16,00,000",05/08/2025
64642,"Flat in Khedbrahma Nagar, Sabarkantha","Sabarkantha, Gujarat",Au small finance bank,"₹20,20,000",05/08/2025
64645,"Plot in Kotada, Banaskanta","Banaskantha, Gujarat",Au small finance bank,"₹13,00,000",05/08/2025
64647,"Commercial Property in Bhuj, Kachchh","Kutch, Gujarat",Au small finance bank,"₹10,01,000",05/08/2025
64668,"Land in Khedbrahma, Sabarkantha","Sabarkantha, Gujarat",Au small finance bank,"₹4,70,000",05/08/2025
64669,Land for Sale,"G.P.Dahimata, Bhilwara, Rajasthan",Au small finance bank,"₹6,05,000",05/08/2025
64670,"Commercial Property in Baben, Surat","Surat, Gujarat",Au small finance bank,"₹7,00,000",05/08/2025
64671,"Commercial Property in Baben, Surat","Surat, Gujarat",Au small finance bank,"₹7,00,000",05/08/2025
64673,Plot for Sale,"Bhadrajune, Jalore, Rajasthan",Au small finance bank,"₹9,50,000",05/08/2025
64675,"Commercial Property in Baben, Surat","Surat, Gujarat",Au small finance bank,"₹7,00,000",05/08/2025
