,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,196399,Axis Bank,"s.no 3

All the piece and parcel of flat No.301, having carpet area of 527 Sq. F...I am interested",Pune,09 Jun 2025,"21,01,059.00","2,10,106.00",SARFAESI,--,195484,0,Immovable,Flat,0
,197496,State Bank of India,"Description of Vehicle, Regd.
Nos./Model/KM Reading
JOHN DEER 5050D, DIESEL
TRAC...I am interested",medak,09 Jun 2025,"3,60,000.00","36,000.00",SARFAESI,--,196580,0,Movable,Vehicle,0
,195261,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent:- S No-78/1, Plot No-1...I am interested",Jalgaon,09 Jun 2025,"19,30,000.00","1,93,000.00",SARFAESI,--,194353,0,Immovable,Plot,0
,195275,Piramal Capital and Housing Finance Ltd.,"S.NO 1

All The piece and Parcel of the Property having an extent :- FLAT NO.701...I am interested",Thane,09 Jun 2025,"21,47,480.00","2,14,748.00",SARFAESI,--,194370,0,Immovable,Flat,0
,195280,Piramal Capital and Housing Finance Ltd.,"S.NO 2

All The piece and Parcel of the Property having an extent: FLAT NO 404 4...I am interested",Thane,09 Jun 2025,"20,80,000.00","2,08,000.00",SARFAESI,--,194377,0,Immovable,Flat,0
,195288,Piramal Capital and Housing Finance Ltd.,"s.no 3

All The piece and Parcel of the Property having an extent - Flat No. 106...I am interested",Thane,09 Jun 2025,"20,00,000.00","2,00,000.00",SARFAESI,--,194382,0,Immovable,Flat,0
,195291,Piramal Capital and Housing Finance Ltd.,"S.NO 4

All The piece and Parcel of the Property having an extent - Flat No. 406...I am interested",Thane,09 Jun 2025,"19,50,000.00","1,95,000.00",SARFAESI,--,194383,0,Immovable,Flat,0
,195293,Piramal Capital and Housing Finance Ltd.,"s.no 5

ll The piece and Parcel of the Property having an extent: Flat No 004, G...I am interested",Thane,09 Jun 2025,"14,90,000.00","1,49,000.00",SARFAESI,--,194385,0,Immovable,Flat,0
,195295,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent :- Flat No. 104, First...I am interested",valsad,09 Jun 2025,"11,40,000.00","1,14,000.00",SARFAESI,--,194387,0,Immovable,Flat,0
,195296,Piramal Capital and Housing Finance Ltd.,"S.NO 6

All The piece and Parcel of n the Property having an extent :- Flat No. ...I am interested",Thane,09 Jun 2025,"19,40,000.00","1,94,000.00",SARFAESI,--,194388,0,Immovable,Flat,0
