,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,197607,HDFC Bank,"Property consisting of Commercial
Building situated “Sampati Group”
Imperial Hei...I am interested",Rajkot,22 Jun 2025,"1,50,00,000.00","15,00,000.00",SARFAESI,--,196692,0,Immovable,Commerical,0
,198241,TruHome Finance Limited,"All that piece and parcels of the immovable property bearing Plot No. 413, 64.16...I am interested",Surat,22 Jun 2025,"5,50,000.00","55,000.00",SARFAESI,--,197320,0,Immovable,Plot,0
,198529,TruHome Finance Limited,SCHEDULE -A (Plot No.C-10): All Piece and Parcels of property being Industrial P...I am interested,Surat,22 Jun 2025,"24,00,000.00","2,40,000.00",SARFAESI,--,197607,0,Immovable,Industrial Property,0
,198531,TruHome Finance Limited,SCHEDULE - B (Plot No.D-11): All Piece and Parcels of property being Industrial ...I am interested,Surat,22 Jun 2025,"24,00,000.00","2,40,000.00",SARFAESI,--,197609,0,Immovable,Industrial Property,0
,198556,TruHome Finance Limited,"All that right, title and interest of immovable property being a Shop No.212 adm...I am interested",Ahmedabad,22 Jun 2025,"25,00,000.00","2,50,000.00",SARFAESI,--,197634,0,Immovable,Shop,0
,197408,Namdev Finvest Private Limited,"s.no 1

All the Piece and Parcel of the Non agriculture Property 
Residential Pr...I am interested",BanasKantha,23 Jun 2025,"33,21,000.00","3,32,100.00",SARFAESI,--,196501,0,Immovable,NON AGRICULTURAL,0
,197815,HDFC Bank,Property Registered Mortgage of Land measuring 23 Bighas 04 Biswas of Khasra No....I am interested,Delhi,23 Jun 2025,"22,00,00,000.00","2,20,00,000.00",SARFAESI,--,196898,0,Immovable,Residential,0
,196038,Piramal Capital and Housing Finance Ltd.,All The piece and Parcel of the Property having an extent:- Plot of Land being P...I am interested,Lucknow,23 Jun 2025,"13,30,000.00","1,33,000.00",SARFAESI,--,195127,0,Immovable,Plot,0
,196103,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent -Flat No. 302, 3rd Flo...I am interested",Thane,23 Jun 2025,"36,43,500.00","3,64,350.00",SARFAESI,--,195191,0,Immovable,Flat,0
,196104,Piramal Capital and Housing Finance Ltd.,"All The piece and Parcel of the Property having an extent :- F No 104, 1st Flr,...I am interested",Thane,23 Jun 2025,"11,22,100.00","1,12,210.00",SARFAESI,--,195193,0,Immovable,Flat,0
