Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Bhandara",2025_MH_30182,,,24-Jun-2025 09:00 AM,26-Jun-2025 10:55 AM,26-Jun-2025 10:55 AM,Timber
Ministry of Defence||Directorate General Defence Estates||Northern Command Jammu||DEO- Udhampur,2025_MoD_4007,"2,000","68,850",05-Jun-2025 01:30 PM,26-Jun-2025 11:00 AM,02-Jul-2025 11:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Northern Command Jammu||DEO- Udhampur,2025_MoD_4006,"1,000","33,652",05-Jun-2025 01:30 PM,26-Jun-2025 11:00 AM,02-Jul-2025 11:00 AM,Others
Govt of Haryana||Revenue and Disaster Management Haryana||Deputy Commissioner Faridabad||District Nazar O/o DC Faridabad,2025_HR_1005,"1,50,000",,19-Jun-2025 09:00 AM,26-Jun-2025 11:00 AM,27-Jun-2025 10:00 AM,Miscellaneous
Ministry of Defence||Directorate General Defence Estates||Northern Command Jammu||DEO- Udhampur,2025_MoD_4004,"31,000","15,25,973",05-Jun-2025 01:30 PM,26-Jun-2025 11:00 AM,02-Jul-2025 11:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Northern Command Jammu||DEO- Udhampur,2025_MoD_4005,"11,000","5,09,420",05-Jun-2025 01:30 PM,26-Jun-2025 11:00 AM,02-Jul-2025 11:00 AM,Others
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Bhandara",2025_MH_30183,,,24-Jun-2025 09:00 AM,26-Jun-2025 11:45 AM,26-Jun-2025 11:45 AM,Firewood
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Kaushambi,2025_UP_1626,"12,76,160","1,27,61,600",12-Jun-2025 12:00 PM,26-Jun-2025 12:00 PM,30-Jun-2025 12:00 PM,Mining
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Ballarshah",2025_MH_29917,,,24-Jun-2025 09:30 AM,26-Jun-2025 01:00 PM,26-Jun-2025 01:00 PM,Timber
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4788,"26,184","2,61,845",18-Jun-2025 11:00 AM,26-Jun-2025 03:00 PM,04-Jul-2025 11:00 AM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur,2025_WB_4768,"8,91,550","89,15,500",12-Jun-2025 06:00 PM,26-Jun-2025 03:00 PM,01-Jul-2025 12:00 PM,Miscellaneous
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Nandakumar Panchayat Samity,2025_WB_4769,"5,700","56,880",13-Jun-2025 11:30 AM,26-Jun-2025 03:00 PM,01-Jul-2025 12:00 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Nandakumar Panchayat Samity,2025_WB_4767,"11,500","1,10,790",13-Jun-2025 11:30 AM,26-Jun-2025 03:00 PM,01-Jul-2025 12:00 PM,Others
Govt of Haryana||Prison Department Haryana||Central Prison-1 Hisar,2025_HR_1010,"50,000","2,200",24-Jun-2025 09:00 AM,26-Jun-2025 05:00 PM,30-Jun-2025 09:00 AM,Others
Govt of Haryana||Prison Department Haryana||Central Prison-1 Hisar,2025_HR_1007,"50,000",15,24-Jun-2025 09:00 AM,26-Jun-2025 05:00 PM,30-Jun-2025 09:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Chopda,2025_MH_30188,"50,000","5,00,000",19-Jun-2025 01:05 PM,26-Jun-2025 05:00 PM,28-Jun-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Chopda,2025_MH_30190,"50,000","5,00,000",19-Jun-2025 01:15 PM,26-Jun-2025 05:00 PM,28-Jun-2025 11:00 AM,Miscellaneous
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administartion Osmanabad District - DMA||Municipal Council Tuljapur,2025_MH_29557,"79,920","79,92,000",21-May-2025 10:00 AM,26-Jun-2025 06:55 PM,01-Jul-2025 11:00 AM,Miscellaneous
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Aurangabad||Office of the DCF Nanded",2025_MH_30037,,,23-Jun-2025 06:55 PM,27-Jun-2025 09:30 AM,27-Jun-2025 09:30 AM,Firewood
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF and Field Director TATR||Office of the Dy. Director(Buffer) TATR",2025_MH_30191,,,25-Jun-2025 09:00 AM,27-Jun-2025 11:00 AM,27-Jun-2025 11:00 AM,Bamboo
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF and Field Director TATR||Office of the Dy. Director(Buffer) TATR",2025_MH_30192,,,25-Jun-2025 09:00 AM,27-Jun-2025 11:15 AM,27-Jun-2025 11:15 AM,Bamboo
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF and Field Director TATR||Office of the Dy. Director(Buffer) TATR",2025_MH_30193,,,25-Jun-2025 09:00 AM,27-Jun-2025 11:30 AM,27-Jun-2025 11:30 AM,Bamboo
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF and Field Director TATR||Office of the Dy. Director(Buffer) TATR",2025_MH_30194,,,25-Jun-2025 09:00 AM,27-Jun-2025 11:45 AM,27-Jun-2025 11:45 AM,Bamboo
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_4012,"1,000","5,320",06-Jun-2025 11:00 AM,27-Jun-2025 12:00 PM,29-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_4010,"1,500","24,510",06-Jun-2025 11:00 AM,27-Jun-2025 12:00 PM,29-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_4009,"1,000","12,946",06-Jun-2025 11:30 AM,27-Jun-2025 12:00 PM,29-Jun-2025 10:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Western Command Chandigarh||DEO- Jammu,2025_MoD_4011,"1,000","4,560",06-Jun-2025 11:00 AM,27-Jun-2025 12:00 PM,29-Jun-2025 10:00 AM,Others
Govt of Haryana||Municipal Corporation Panchkula,2025_HR_1006,403,"8,049",20-Jun-2025 05:00 PM,27-Jun-2025 03:00 PM,02-Jul-2025 09:00 AM,Timber
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF and Field Director TATR||Office of the Dy. Director(Buffer) TATR",2025_MH_30196,,,25-Jun-2025 09:00 AM,27-Jun-2025 03:00 PM,27-Jun-2025 03:00 PM,Bamboo
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF and Field Director TATR||Office of the Dy. Director(Buffer) TATR",2025_MH_30197,,,25-Jun-2025 09:00 AM,27-Jun-2025 03:15 PM,27-Jun-2025 03:15 PM,Bamboo
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Nagpur||Office of the DCF Bhandara",2025_MH_30180,,,25-Jun-2025 09:00 AM,27-Jun-2025 03:20 PM,27-Jun-2025 03:20 PM,Timber
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29905,"1,00,000","5,16,312",09-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_29936,"50,000","4,60,000",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_30001,"50,000","2,87,000",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_29989,"50,000","3,01,000",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_30002,"50,000","2,87,000",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29905,"1,00,000","5,16,312",09-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29908,"1,00,000","5,13,361",09-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_29974,"50,000","2,90,500",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_29968,"50,000","2,90,500",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_29963,"50,000","3,01,000",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_29970,"50,000","2,90,500",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_29972,"50,000","2,90,500",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Urban Development Department (Maharashtra)||Solapur Municipal Corporation-Solapur,2025_MH_29984,"29,200","29,20,000",12-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,01-Jul-2025 10:00 AM,Others
Govt of Maharashtra||Urban Development Department (Maharashtra)||Solapur Municipal Corporation-Solapur,2025_MH_29990,"49,610","49,60,350",12-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,01-Jul-2025 10:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29903,"1,00,000","5,16,312",09-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29905,"1,00,000","5,16,312",09-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29907,"1,00,000","5,13,361",09-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_30005,"50,000","2,87,000",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Ahmednagar District-DMA||Municipal Council Ahmednagar,2025_MH_29908,"1,00,000","5,13,361",09-Jun-2025 10:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_30008,"50,000","2,49,000",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Beed District- DMA||Chief Officer Nagar Panchayat Wadwani,2025_MH_29958,"50,000","3,01,000",12-Jun-2025 11:00 AM,27-Jun-2025 05:00 PM,07-Jul-2025 11:00 AM,Land/Building
