,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,197029,Equitas Small Finance Bank,"In Dindigul R.D., Nagalnayakkenpatty Sub-Registrar Office, in Dindigul Town, in ...I am interested",DINDIGUL,18 Jun 2025,"20,25,000.00","2,02,500.00",SARFAESI,--,196113,1,Immovable,Residential,0
,195941,HDFC Bank,"LOT  No 1

Residential Patta No. 6, Gram Cherai, Osian Patta, Book No. 27, Misal...I am interested",Jodhpur,18 Jun 2025,"16,50,000.00","1,65,000.00",DRT,Jaipur DRT,195031,0,Immovable,Residential,0
,195944,HDFC Bank,"LOT  No 2


Residential Patta No. 5, Gram Cherai, Misal No. 257/201- 11342303, G...I am interested",Jodhpur,18 Jun 2025,"14,80,000.00","1,48,000.00",DRT,Jaipur DRT,195032,0,Immovable,Residential,0
,195945,HDFC Bank,"LOT  No 3

Industrial Plot No. 101, Gram Cherai, Khasra No. 2143/3, Rakba 2 3423...I am interested",Jodhpur,18 Jun 2025,"81,00,000.00","8,10,000.00",DRT,Jaipur DRT,195033,0,Immovable,Residential,0
,197035,Repco Home Finance Ltd,All the piece and parcel of land together with building situated at Virudhunaga...I am interested,virudhunagar,18 Jun 2025,"20,21,000.00","2,02,100.00",SARFAESI,--,196117,0,Immovable,Land And Building,0
,197037,Repco Home Finance Ltd,All the piece and parcel of land together with building situated at Virudhunaga...I am interested,virudhunagar,18 Jun 2025,"7,93,000.00","79,300.00",SARFAESI,--,196120,0,Immovable,Land And Building,0
,195395,Bank Of India,"House No.214, 
Ramnathwadi, Holi, 
Kirawali, Ramnath 
Marg, Near Vailankani 
Mat...I am interested",PALGHAR,18 Jun 2025,"50,40,000.00","5,10,000.00",DRT,Mumbai DRT-II,194486,0,Immovable,Residential,0
,197466,Kotak Mahindra Bank,"Shop No. U-14, having 
built up area 
admeasuring 1422 Sq. Ft., 
Ground Floor, P...I am interested",Thane,18 Jun 2025,"1,42,00,000.00","14,20,000.00",SARFAESI,--,196550,0,Immovable,Shop,0
,195294,Bank of Maharashtra,All the piece and parcel of land situated at being and lying at Village Vitthal ...I am interested,NANDED,18 Jun 2025,"8,92,128.00","90,000.00",DRT,Aurangabad DRT,194386,0,Immovable,Land,0
,197356,TruHome Finance Limited,"All That Piece and Parcel Residential House on Plot No. 64, Sanskriti Royal Park...I am interested",Indore,18 Jun 2025,"83,00,000.00","8,30,000.00",SARFAESI,--,196438,0,Immovable,Residential,0
