,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,196615,Encore Asset Reconstruction Company Private Limited,"All that piece and parcel of 
land and building, 
comprised in Gramanatham 
S.No...I am interested",Chennai,10 Jun 2025,"94,18,000.00","9,41,800.00",SARFAESI,--,195701,0,Immovable,Land And Building,0
,196004,Punjab & Sind Bank,"1. Ground Floor, without roof rights of property no. 53, khasra no. 19/5 situate...I am interested",Delhi,10 Jun 2025,"55,54,000.00","5,55,400.00",DRT,New Delhi DRT-II,195093,0,Immovable,Floor,0
,195112,HDFC Bank,All the Piece and Parcel of Immovable Industrial Property Bearing revenue on Sur...I am interested,amreli,10 Jun 2025,"75,00,000.00","7,50,000.00",SARFAESI,--,194203,0,Immovable,Industrial Property,0
,195529,HDFC Bank,"All that piece and parcel of Mouje- Shivani, NH No. 06, Murtizapur Road. Tq and ...I am interested",AKOLA,10 Jun 2025,"11,90,00,000.00","1,19,00,000.00",SARFAESI,--,194621,0,Immovable,Land,0
,196461,Piramal Capital and Housing Finance Ltd.,"s.no 1

All The piece and Parcel of the Property having an extent> Residential H...I am interested",Ahmedabad,10 Jun 2025,"9,90,000.00","99,000.00",SARFAESI,--,195550,0,Immovable,Residential House,0
,196468,Piramal Capital and Housing Finance Ltd.,"s.no 2

All The piece and Parcel of the Property having an extent:-J-42 Aagam 99...I am interested",Ahmedabad,10 Jun 2025,"6,10,000.00","61,000.00",SARFAESI,--,195553,0,Immovable,Residential,0
,196471,Piramal Capital and Housing Finance Ltd.,"S.NO 3

All The piece and Parcel of the Property having an extent:- Plot No. J/2...I am interested",Surendranagar,10 Jun 2025,"7,20,000.00","72,000.00",SARFAESI,--,195557,0,Immovable,Plot,0
,196475,Piramal Capital and Housing Finance Ltd.,"s.no 4

All The piece and Parcel of the Property having an extent :- Plot No. 17...I am interested",Surat,10 Jun 2025,"11,30,000.00","1,13,000.00",SARFAESI,--,195560,0,Immovable,Plot,0
,196478,Piramal Capital and Housing Finance Ltd.,"s.no 5

All The piece and Parcel of the Property having an extent:-Flat No. C-50...I am interested",Surat,10 Jun 2025,"9,00,000.00","90,000.00",SARFAESI,--,195563,0,Immovable,Flat,0
,196479,Piramal Capital and Housing Finance Ltd.,"All The Piece And Parcel of The Property Having An Extent:- Flat No. T-9, 3rd Fl...I am interested",KANCHIPURAM,10 Jun 2025,"14,50,000.00","1,45,000.00",SARFAESI,--,195565,0,Immovable,Flat,0
