Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Allapalli",2025_MH_29590,,,10-Jun-2025 05:00 PM,13-Jun-2025 02:30 PM,13-Jun-2025 02:30 PM,Bamboo
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Gadchiroli||Office of the DCF Allapalli",2025_MH_29592,,,10-Jun-2025 05:00 PM,13-Jun-2025 02:30 PM,13-Jun-2025 02:30 PM,Timber
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Deshapran Panchayat Samity,2025_WB_4750,"10,000","98,415",05-Jun-2025 06:30 PM,13-Jun-2025 03:00 PM,24-Jun-2025 12:00 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Deshapran Panchayat Samity,2025_WB_4749,"6,000","59,907",05-Jun-2025 06:30 PM,13-Jun-2025 03:00 PM,24-Jun-2025 12:00 PM,Others
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Contai-III Panchayat Samity,2025_WB_4748,"5,830","80,972",05-Jun-2025 06:30 PM,13-Jun-2025 03:00 PM,24-Jun-2025 12:00 PM,Land/Building
Govt of West Bengal||Zilla Parishad West Bengal||Purba Medinipur||Contai-III Panchayat Samity,2025_WB_4747,"4,200","58,177",05-Jun-2025 06:30 PM,13-Jun-2025 03:00 PM,24-Jun-2025 12:00 PM,Others
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Bhandara,2025_MH_29726,,,11-Jun-2025 02:00 PM,13-Jun-2025 03:35 PM,13-Jun-2025 03:35 PM,Firewood
Govt of West Bengal||Zilla Parishad West Bengal||Howrah,2025_WB_4700,"1,03,101","3,000",23-May-2025 11:00 AM,13-Jun-2025 05:00 PM,30-Jun-2025 11:00 AM,Others
Govt of West Bengal||University of Calcutta - West Bengal,2025_WB_4734,"13,000","6,50,000",30-May-2025 05:00 PM,13-Jun-2025 05:00 PM,19-Jun-2025 12:30 PM,Scrap/Disposables
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Washim District-DMA||Municipal Council Mangarulpeer,2025_MH_29489,"50,000","3,52,700",16-May-2025 10:00 AM,13-Jun-2025 06:00 PM,19-Jun-2025 10:00 AM,Miscellaneous
Govt of West Bengal||District Magistrate Birbhum West Bengal||District L and LR officer Birbhum,2025_WB_4722,0.00,"7,27,463",30-May-2025 10:00 AM,13-Jun-2025 06:00 PM,20-Jun-2025 11:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Washim District-DMA||Municipal Council Mangarulpeer,2025_MH_29482,"1,00,000","4,52,600",16-May-2025 10:00 AM,13-Jun-2025 06:00 PM,19-Jun-2025 10:00 AM,Miscellaneous
