,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,195364,Federal Bank Ltd,"All that the Flat No.G-17, in Ground Floor, of ‘Venkatadhri Heights’ Block-E, ad...I am interested",Medchal,06 Jun 2025,"61,50,000.00","6,15,000.00",SARFAESI,--,194455,0,Immovable,Flat,0
,197350,TruHome Finance Limited,"All that part and parcel of the properties bearing No. House No.25, Khurana Encl...I am interested",Ghaziabad,06 Jun 2025,"21,50,000.00","2,15,000.00",SARFAESI,--,196436,0,Immovable,Residential,0
,196818,HDFC Bank,"Property No. Industrial Property comprising in Khewat No.256//21, Khata No.372, ...I am interested",Sonipat,06 Jun 2025,"5,13,00,000.00","51,13,000.00",SARFAESI,--,195904,0,Immovable,Industrial Property,0
,196861,HDFC Bank,"Residential Property bearing Flat no. 506, Fifth
Floor Property No.32- DIRB-2/5 ...I am interested",Agra,06 Jun 2025,"1,37,00,000.00","13,70,000.00",SARFAESI,--,195945,0,Immovable,Flat,0
,196865,HDFC Bank,"Item No.1: Property No. Residential Dda Mig Flat No. D-24, Third Floor, Plot No....I am interested",Delhi,06 Jun 2025,"86,00,000.00","8,60,000.00",SARFAESI,--,195949,0,Immovable,Flat,0
,196873,HDFC Bank,"Unit No. 65, Ground Floor, Universal Trade Tower, Mauja Tikri, Sector- 49, Gurug...I am interested",Gurugram,06 Jun 2025,"1,20,00,000.00","12,00,000.00",SARFAESI,--,195958,0,Immovable,Residential,0
,196879,HDFC Bank,Item No. 1 Property bearing shop on first Floor without roof/terrace rights bear...I am interested,Delhi,06 Jun 2025,"9,50,000.00","95,000.00",SARFAESI,--,195962,0,Immovable,Shop,0
,196900,HDFC Bank,"Property No. 1 Flat No. 187-A, Entire First Floor, Kohat Enclave Metro Station, ...I am interested",Delhi,06 Jun 2025,"95,00,000.00","9,50,000.00",SARFAESI,--,195983,0,Immovable,Flat,0
,196902,HDFC Bank,"Property No.2 Free Hold Property Flat No. QP-76, Entire 3rd Floor with out Roof ...I am interested",Delhi,06 Jun 2025,"86,00,000.00","8,60,000.00",SARFAESI,--,195986,0,Immovable,Flat,0
,196905,HDFC Bank,"Property No.3 - Property No. 60A, Block-F, Tehsil- Sanganer, Situated at SEZ Nar...I am interested",Jaipur,06 Jun 2025,"55,00,000.00","5,50,000.00",SARFAESI,--,195988,0,Immovable,Residential,0
